Version,c_rlap,c_snid,z_rlap,z_snid,z_snid_err,z_level,ZTF_Name,Class,col3,col4,col5,col6,col7,col9
ZTF19acnvhnt_20191124_P200_v3.ascii,598.05,II-pec,9.51,0.026000000000000002,0.0018,1,ZTF19acnvhnt,Ic,0.02715,0.02715,2458811.5,2458791.59,19.91,2
ZTF18abtogdl_20180927_P60_v2.ascii,20.42,II-pec,15.66,0.0985,0.0035,1,ZTF18abtogdl,Ia,0.1,,2458388.5,2458382.63,5.87,1
ZTF18acbwaxk_20181102_P60_v1.ascii,16.86,II-pec,16.86,0.0089,0.003,1,ZTF18acbwaxk,II-87A,0.009000000000000001,0.002408,2458424.5,2458502.98,-78.48,1
ZTF18acgvgiq_20190602_P200_v1.ascii,16.11,II-pec,16.11,0.0081,0.0016,1,ZTF18acgvgiq,II,0.006999999999999999,0.01026,2458636.5,2458433.0,203.5,1
ZTF19aasmddt_20190502_P200_v1.ascii,15.25,II-pec,15.25,0.0425,0.0045,1,ZTF19aasmddt,II,0.027999999999999997,,2458605.5,2458616.87,-11.37,0
ZTF18aainvic_20180806_TNG_v2.ascii,15.11,II-pec,15.11,0.031,0.0021,1,ZTF18aainvic,II,0.031,,2458336.5,2458266.76,69.74,1
ZTF18abxwqht_20190403_Keck1_v1.ascii,12.91,II-pec,12.91,0.0214,0.0023,1,ZTF18abxwqht,Ib,0.020319999999999998,0.020319999999999998,2458576.5,2458400.7,175.8,2
ZTF19acasxva_20191024_P200_v1.ascii,11.66,II-pec,7.8,0.0813,0.0069,1,ZTF19acasxva,-,0.07400000000000001,,2458780.5,2458781.74,-1.24,0
ZTF20abnnfpv_20200723_P60_v2.ascii,10.22,II-pec,10.22,0.040999999999999995,0.0048,1,ZTF20abnnfpv,II,0.02456,,2459053.5,2459054.87,-1.37,0
ZTF20abnnfpv_20200723_P60_v1.ascii,10.22,II-pec,10.22,0.040999999999999995,0.0048,1,ZTF20abnnfpv,II,0.02456,,2459053.5,2459054.87,-1.37,0
ZTF18acbvhit_20181101_P60_v1.ascii,10.09,II-pec,10.09,0.0283,0.0057,1,ZTF18acbvhit,II,0.013000000000000001,0.013856,2458423.5,2458428.72,-5.22,1
ZTF18acqppuj_20181213_P60_v1.ascii,9.85,II-pec,9.85,0.0335,0.0053,1,ZTF18acqppuj,II,0.034,0.026418999999999998,2458465.5,2458465.96,-0.46,1
ZTF20aaetrle_20200123_P60_v1.ascii,9.66,II-pec,9.66,0.0337,0.0067,1,ZTF20aaetrle,II,0.02,,2458871.5,2458873.63,-2.13,0
ZTF19abidbqp_20190802_P60_v1.ascii,9.66,II-pec,9.66,0.0402,0.0039,1,ZTF19abidbqp,Ia-CSM,0.04016,,2458697.5,2458695.89,1.61,0
ZTF19acgjpgh_20191227_APO_v1.ascii,9.04,II-pec,9.04,0.0812,0.0077,1,ZTF19acgjpgh,SLSN-I,0.0635,,2458844.5,2458849.88,-5.38,0
ZTF19aallimd_20190329_P60_v1.ascii,8.95,II-pec,8.95,0.0343,0.0064,1,ZTF19aallimd,II,0.03,,2458571.5,2458568.72,2.78,0
ZTF20aambtea_20200227_Lick_3-m_v1.ascii,8.68,II-pec,8.68,0.03,0.0073,1,ZTF20aambtea,II,0.019,,2458906.5,2458905.62,0.88,0
ZTF19abidbqp_20190802_P60_v2.ascii,8.44,II-pec,8.44,0.0397,0.0045,1,ZTF19abidbqp,Ia-CSM,0.04016,,2458697.5,2458695.89,1.61,0
ZTF18adbadfz_20190103_P60_v1.ascii,8.36,II-pec,8.36,0.0369,0.0055,1,ZTF18adbadfz,II,0.035,0.033742,2458486.5,2458482.01,4.49,1
ZTF20abepklv_20200616_P60_v2.ascii,8.27,II-pec,8.27,0.0406,0.0074,1,ZTF20abepklv,II,0.0226,,2459016.5,2459012.69,3.81,0
ZTF18abdjmfh_20180705_P60_v1.ascii,8.19,II-pec,8.19,0.0409,0.0088,0,ZTF18abdjmfh,II,0.028999999999999998,0.031775,2458304.5,2458306.64,-2.14,1
ZTF20aapycrh_20200226_P200_v1.ascii,8.05,II-pec,8.05,0.0379,0.0081,1,ZTF20aapycrh,II,0.015,,2458905.5,2458906.74,-1.24,0
