,ZTF_Name,Class,col3,col4,col5,col6,col7,Version,col9,SNID_Class,rlap
0,ZTF17aaajnki,AGN,0.00106,,2458197.5,2458512.74,-315.24,ZTF17aaajnki_20180320_P60_v2.ascii,0,Gal,21.67
1,ZTF17aaaobyl,CV,99.0,,2458356.5,2458345.72,10.78,ZTF17aaaobyl_20180826_P60_v2.ascii,0,AGN,8.75
2,ZTF17aaaukqn,CV,0.0,,2458365.5,2458364.64,0.86,ZTF17aaaukqn_20180904_P60_v1.ascii,0,IIL,3.48
3,ZTF17aaazdba,TDE,0.022,,2458597.5,2458561.46,36.04,ZTF17aaazdba_20190424_P60_v1.ascii,0,IIn,4.07
4,ZTF17aabcpcp,galaxy,99.0,,2458424.5,2458422.59,1.91,ZTF17aabcpcp_20181102_P60_v1.ascii,0,Gal,15.86
5,ZTF17aaburzk,CV,99.0,,2458316.5,2458360.6,-44.1,ZTF17aaburzk_20180717_P60_v1.ascii,0,Ia-91T,5.47
6,ZTF17aadcbei,CV,99.0,,2458439.5,2458437.67,1.83,ZTF17aadcbei_20181117_P60_v1.ascii,0,Ia-91T,3.75
7,ZTF17aadlxmv,Ia,0.062,,2458871.5,2458879.54,-8.04,ZTF17aadlxmv_20200123_P60_v1.ascii,0,Ia-norm,7.55
8,ZTF18aaabltn,CLAGN,0.0458,,2458461.5,2458512.46,-50.96,ZTF18aaabltn_20181209_P60_v1.ascii,0,AGN,11.69
9,ZTF18aaadtdc,AGN,0.03865,,2458428.5,2458434.5,-6.0,ZTF18aaadtdc_20181106_P60_v1.ascii,0,AGN,17.93
10,ZTF18aaakpbx,CV,99.0,,2458389.5,2458582.41,-192.91,ZTF18aaakpbx_20180928_P60_v2.ascii,0,IIb,6.7
11,ZTF18aaakpsa,AGN,0.017,,2458371.5,2458362.7,8.8,ZTF18aaakpsa_20180910_P60_v1.ascii,0,Gal,22.46
12,ZTF18aaaokus,AGN,0.00883,,2458432.5,2458562.57,-130.07,ZTF18aaaokus_20181110_P60_v1.ascii,0,Gal,10.69
13,ZTF18aaaqexr,Ia,0.0702,,2458899.5,2458891.65,7.85,ZTF18aaaqexr_20200220_P60_v1.ascii,0,Ia-91T,9.48
14,ZTF18aabicqe,AGN,99.0,,2458425.5,2458431.62,-6.12,ZTF18aabicqe_20181103_P60_v1.ascii,0,AGN,29.04
15,ZTF18aabilqu,AGN,0.0222,,2458260.5,2458602.48,-341.98,ZTF18aabilqu_20180522_P60_v1.ascii,0,Gal,14.53
16,ZTF18aabuoud,-,0.0588,,2458669.5,2458673.43,-3.93,ZTF18aabuoud_20190705_P60_v1.ascii,0,Ia-91bg,6.86
17,ZTF18aabvmws,AGN?,0.0285,,2458432.5,2458426.77,5.73,ZTF18aabvmws_20181110_P60_v1.ascii,0,Gal,13.93
18,ZTF18aabvpbb,CV,99.0,,2458380.5,2458581.4,-200.9,ZTF18aabvpbb_20180919_P60_v1.ascii,0,Ia-91bg,4.42
19,ZTF18aachojf,AGN,0.0392,,2458261.5,2458263.41,-1.91,ZTF18aachojf_20180523_P60_v1.ascii,0,AGN,14.87
20,ZTF18aadkjmo,AGN,0.02499,,2458424.5,2458455.51,-31.01,ZTF18aadkjmo_20181102_P60_v1.ascii,0,AGN,20.99
21,ZTF18aadnqwz,AGN,0.04,,2458361.5,2458359.7,1.8,ZTF18aadnqwz_20180831_P60_v1.ascii,0,Gal,14.54
22,ZTF18aadqmyy,-,99.0,,2458566.5,2458522.43,44.07,ZTF18aadqmyy_20190324_P60_v1.ascii,0,Gal,7.85
23,ZTF18aaegvyd,II,0.0235,,2458659.5,2458653.4,6.1,ZTF18aaegvyd_20190625_P60_v1.ascii,0,IIP,4.74
24,ZTF18aaemivw,Ia,0.065,0.068069,2458426.5,2458423.77,2.73,ZTF18aaemivw_20181104_P60_v1.ascii,1,Ia-csm,7.37
25,ZTF18aaenfaa,AGN,0.0776,,2458383.5,2458471.47,-87.97,ZTF18aaenfaa_20180922_P60_v1.ascii,0,IIn,12.21
26,ZTF18aaeoiwu,-,99.0,,2458775.5,2458584.39,191.11,ZTF18aaeoiwu_20191019_P60_v1.ascii,0,M-star,6.9
27,ZTF18aaexyql,-,0.03,,2458813.5,2458791.73,21.77,ZTF18aaexyql_20191126_P60_v1.ascii,0,IIP,5.16
28,ZTF18aaeynan,Galaxy,0.05,,2458377.5,2458442.57,-65.07,ZTF18aaeynan_20180916_P60_v1.ascii,0,Gal,12.19
29,ZTF18aafcpdd,-,99.0,,2458474.5,2458464.52,9.98,ZTF18aafcpdd_20181222_P60_v1.ascii,0,Ia-91T,7.52
30,ZTF18aaflcyp,AGN,0.03075,,2458481.5,2458480.65,0.85,ZTF18aaflcyp_20181229_P60_v1.ascii,0,Gal,15.38
31,ZTF18aagpxsx,star,99.0,,2458479.5,2458474.73,4.77,ZTF18aagpxsx_20181227_P60_v1.ascii,0,Ia-91bg,5.0
32,ZTF18aagrdcs,Ib,0.024,0.01814,2458204.5,2458219.54,-15.04,ZTF18aagrdcs_20180327_P60_v1.ascii,1,Ia-91T,5.56
33,ZTF18aagrkwn,AGN,0.144,,2458270.5,2458606.54,-336.04,ZTF18aagrkwn_20180601_P60_v1.ascii,0,AGN,10.61
34,ZTF18aagteoy,AGN,0.0475,,2458211.5,2458301.41,-89.91,ZTF18aagteoy_20180403_P60_v1.ascii,0,IIP,5.95
35,ZTF18aahfjdt,AGN,0.048,,2458227.5,2458257.46,-29.96,ZTF18aahfjdt_20180419_P60_v1.ascii,0,Gal,8.73
36,ZTF18aahfohe,AGN,0.031,,2458227.5,2458574.51,-347.01,ZTF18aahfohe_20180419_P60_v1.ascii,0,Gal,10.0
37,ZTF18aahfzea,Ia,0.025,0.02373,2458229.5,2458217.49,12.01,ZTF18aahfzea_20180421_P60_v2.ascii,1,Ia-norm,18.8
38,ZTF18aahhqih,II,0.021,0.014253,2458204.5,2458257.45,-52.95,ZTF18aahhqih_20180327_P60_v1.ascii,1,IIP,5.89
39,ZTF18aahijwe,AGN,0.0156,,2458233.5,2458245.43,-11.93,ZTF18aahijwe_20180425_P60_v1.ascii,0,IIP,5.62
40,ZTF18aahmhxu,SLSN-II,0.167,,2458230.5,2458266.46,-35.96,ZTF18aahmhxu_20180422_P60_v4.ascii,1,Ia-norm,3.59
41,ZTF18aahshhp,Ia,0.05959,,2458911.5,2458908.71,2.79,ZTF18aahshhp_20200303_P60_v1.ascii,0,Ia-norm,9.36
42,ZTF18aahtjsc,Ia,0.0529,,2458574.5,2458575.47,-0.97,ZTF18aahtjsc_20190401_P60_v1.ascii,0,Ia-norm,6.13
43,ZTF18aahuujv,Ic,0.0343,,2458672.5,2458682.48,-9.98,ZTF18aahuujv_20190708_P60_v1.ascii,0,Ia-norm,7.49
44,ZTF18aaiiigm,Ia,0.0782,,2458556.5,2458543.69,12.81,ZTF18aaiiigm_20190314_P60_v1.ascii,0,Ia-norm,6.85
45,ZTF18aaikyip,-,0.0523,,2458476.5,2458448.78,27.72,ZTF18aaikyip_20181224_P60_v1.ascii,0,Ic-broad,6.49
46,ZTF18aailmnv,Ia,0.086,,2458320.5,2458324.51,-4.01,ZTF18aailmnv_20180721_P60_v1.ascii,1,Ia-norm,9.53
47,ZTF18aaizerg,Ia,0.0685,,2458862.5,2458856.8,5.7,ZTF18aaizerg_20200114_P60_v1.ascii,0,Ia-norm,7.98
48,ZTF18aajivpr,Ia,0.0515,,2458955.5,2458956.52,-1.02,ZTF18aajivpr_20200416_P60_v2.ascii,0,Ia-norm,8.86
49,ZTF18aajnqmp,AGN,0.0884,,2458279.5,2458267.54,11.96,ZTF18aajnqmp_20180610_P60_v1.ascii,0,AGN,25.67
50,ZTF18aajrwju,AGN,0.159,,2458274.5,2458581.72,-307.22,ZTF18aajrwju_20180605_P60_v1.ascii,0,AGN,11.82
51,ZTF18aajswer,AGN,99.0,,2458321.5,2458730.48,-408.98,ZTF18aajswer_20180722_P60_v1.ascii,0,AGN,13.55
52,ZTF18aajupnt,CLAGN,0.0367,,2458342.5,2458261.58,80.92,ZTF18aajupnt_20180812_P60_v2.ascii,0,Ia-norm,6.86
53,ZTF18aajvgel,Galaxy,0.029,,2458377.5,2458362.39,15.11,ZTF18aajvgel_20180916_P60_v1.ascii,0,M-star,7.59
54,ZTF18aakfabl,II,0.035,,2458437.5,2458434.7,2.8,ZTF18aakfabl_20181115_P60_v3.ascii,0,Gal,12.46
55,ZTF18aakgzot,varstar,0.0,,2458270.5,2458349.47,-78.97,ZTF18aakgzot_20180601_P60_v1.ascii,0,Ia-91T,6.36
56,ZTF18aakiwbs,Ia,0.066,,2458954.5,2458953.67,0.83,ZTF18aakiwbs_20200415_P60_v1.ascii,0,Ia-norm,11.18
57,ZTF18aakkrjm,Ib,0.02091,,2458964.5,2458965.51,-1.01,ZTF18aakkrjm_20200425_P60_v1.ascii,0,Ia-pec,7.52
58,ZTF18aaklpdo,Ia,0.042,0.044979,2458432.5,2458434.72,-2.22,ZTF18aaklpdo_20181110_P60_v1.ascii,1,Ia-norm,8.26
59,ZTF18aamftst,IIn,0.046,0.037801,2458284.5,2458312.42,-27.92,ZTF18aamftst_20180615_P60_v1.ascii,1,IIn,13.0
60,ZTF18aamgcbt,AGN,0.0935,,2458332.5,2458311.41,21.09,ZTF18aamgcbt_20180802_P60_v2.ascii,0,Ia-norm,8.42
61,ZTF18aamigmk,Ia,0.023,,2458277.5,2458244.66,32.84,ZTF18aamigmk_20180608_P60_v1.ascii,1,Ia-norm,16.04
62,ZTF18aammlba,CV,99.0,,2458380.5,2458379.48,1.02,ZTF18aammlba_20180919_P60_v1.ascii,0,Ia-91T,5.02
63,ZTF18aamxzjx,AGN,0.0781,,2458348.5,2458469.74,-121.24,ZTF18aamxzjx_20180818_P60_v1.ascii,0,AGN,23.8
64,ZTF18aamyexb,AGN,0.0467,,2458262.5,2458257.48,5.02,ZTF18aamyexb_20180524_P60_v1.ascii,0,AGN,15.68
65,ZTF18aanlzzf,AGN,0.235,,2458776.5,2458725.47,51.03,ZTF18aanlzzf_20191020_P60_v1.ascii,0,IIb,7.29
66,ZTF18aansqun,Ia,0.059,0.059676,2458312.5,2458308.47,4.03,ZTF18aansqun_20180713_P60_v2.ascii,1,Ia-norm,6.99
67,ZTF18aanygjk,Ia,0.049,,2458667.5,2458651.45,16.05,ZTF18aanygjk_20190703_P60_v1.ascii,0,Ia-norm,14.19
68,ZTF18aaojsvk,AGN,99.0,,2458283.5,2458267.6,15.9,ZTF18aaojsvk_20180614_P60_v1.ascii,0,AGN,12.0
69,ZTF18aaoufjt,Ia,0.0298,,2458660.5,2458637.56,22.94,ZTF18aaoufjt_20190626_P60_v2.ascii,0,Ia-91bg,6.21
70,ZTF18aaoxrup,Ia,0.06,,2458954.5,2458956.61,-2.11,ZTF18aaoxrup_20200415_P60_v1.ascii,0,Ia-norm,7.54
71,ZTF18aaoxryq,Ia-91T,0.09402,,2458337.5,2458336.47,1.03,ZTF18aaoxryq_20180807_P60_v1.ascii,0,Ia-91T,10.45
72,ZTF18aapgrxo,SLSN-I,0.2744,,2458296.5,2458284.62,11.88,ZTF18aapgrxo_20180627_P60_v1.ascii,1,Ia-91T,4.39
73,ZTF18aapictz,Ia-91T,0.084,,2458255.5,2458254.42,1.08,ZTF18aapictz_20180517_P60_v1.ascii,1,Ia-norm,8.02
74,ZTF18aapifti,II,0.029,0.021013,2458249.5,2458276.43,-26.93,ZTF18aapifti_20180511_P60_v1.ascii,1,Ia-91T,4.49
75,ZTF18aapzqup,AGN,0.067,,2458319.5,2458316.57,2.93,ZTF18aapzqup_20180720_P60_v1.ascii,0,AGN,11.18
76,ZTF18aaqcugm,Ia,0.057,0.061865,2458247.5,2458259.41,-11.91,ZTF18aaqcugm_20180509_P60_v1.ascii,1,Ia-norm,12.67
77,ZTF18aaqduja,AGN,0.099,,2458281.5,2458375.35,-93.85,ZTF18aaqduja_20180612_P60_v1.ascii,0,AGN,23.6
78,ZTF18aaqehoc,Ia,0.063,0.06236,2458247.5,2458250.48,-2.98,ZTF18aaqehoc_20180509_P60_v1.ascii,1,Gal,6.0
79,ZTF18aaqfqaa,II,0.033,0.021815,2458248.5,2458255.51,-7.01,ZTF18aaqfqaa_20180510_P60_v1.ascii,1,Ic-norm,4.28
80,ZTF18aaqiivp,NLS1,0.046,,2458334.5,2458424.41,-89.91,ZTF18aaqiivp_20180804_P60_v2.ascii,0,AGN,11.61
81,ZTF18aaqikyu,CV,99.0,,2458381.5,2458375.52,5.98,ZTF18aaqikyu_20180920_P60_v1.ascii,0,Ia-pec,3.39
82,ZTF18aaqkcso,Ia,0.02,,2458616.5,2458628.44,-11.94,ZTF18aaqkcso_20190513_P60_v1.ascii,0,Ia-norm,10.97
83,ZTF18aaqkdwf,ambiguous,0.092,,2458322.5,2458347.44,-24.94,ZTF18aaqkdwf_20180723_P60_v1.ascii,1,Gal,10.56
84,ZTF18aaqkdwu,II,0.06037,,2458617.5,2458612.52,4.98,ZTF18aaqkdwu_20190514_P60_v2.ascii,0,Gal,11.34
85,ZTF18aaqkjuw,Ia,0.091,0.096612,2458439.5,2458434.72,4.78,ZTF18aaqkjuw_20181117_P60_v1.ascii,1,Ia-csm,14.9
86,ZTF18aaqkoyr,II,0.027,0.023894,2458246.5,2458262.48,-15.98,ZTF18aaqkoyr_20180508_P60_v1.ascii,1,IIP,3.97
87,ZTF18aaqqhis,Ia,0.055,,2458254.5,2458257.45,-2.95,ZTF18aaqqhis_20180516_P60_v1.ascii,1,Ia-norm,7.23
88,ZTF18aaqrxza,-,99.0,,2458472.5,2458462.74,9.76,ZTF18aaqrxza_20181220_P60_v1.ascii,0,Gal,9.93
89,ZTF18aaqvuhl,Ia,0.0311,,2458851.5,2458831.8,19.7,ZTF18aaqvuhl_20200103_P60_v1.ascii,0,Ia-norm,6.27
