Version,Resolution,Superfit_c,Superfit_z,Match,Gal,Frac(SN),Frac(gal),Phase,Av
ZTF18aaaibml_20200212_LT_v1.ascii,binnings/ZTF18aaaibml_20200212_LT_v1,IIb-flash,0.03567,IIb-flash/2013cu_early/DEIMOS phase-band : -7.0V,E,0.8425915,0.15740845,-7.0,-2.0
ZTF18aaaibml_20200212_LT_v2.ascii,binnings/ZTF18aaaibml_20200212_LT_v2,IIb-flash,0.03567,IIb-flash/2013cu_early/DEIMOS phase-band : -7.0V,E,0.8445257,0.15547429,-7.0,-2.0
ZTF18aaaibml_20200214_P200_v1.ascii,binnings/ZTF18aaaibml_20200214_P200_v1,II-flash,0.0348,II-flash/iPTF15crj_early/ALFOSC phase-band : u-,SB3,0.4378655,0.5621345,u,-0.2
ZTF18aabilqu_20180522_P200_v1.ascii,binnings/ZTF18aabilqu_20180522_P200_v1,TDE H+He,0.02331,TDE H+He/2018dyb/EFOSC2-NTT phase-band : 53.99B,SB2,0.9306061,0.06939386,53.99,-0.4
ZTF18aabxlsv_20180510_P60_v1.ascii,binnings/ZTF18aabxlsv_20180510_P60_v1,Ibn,0.0504,Ibn/2015G/KAST phase-band : 2.46B,Sc,0.551332,0.44866797,2.46,2.0
ZTF18aabxlsv_20180517_P200_v1.ascii,binnings/ZTF18aabxlsv_20180517_P200_v1,Ibn,0.048,Ibn/2011hw/DOLORES phase-band : 39.58B,SB6,0.21988413,0.78011584,39.58,2.0
ZTF18aabybkt_20180309_P60_v1.ascii,binnings/ZTF18aabybkt_20180309_P60_v1,II-flash,0.007619,II-flash/iPTF15crj_early/GMOS phase-band : u-,SB1,0.8830676,0.11693242,u,1.6
ZTF18aaexyql_20200124_Keck1_v1.ascii,binnings/ZTF18aaexyql_20200124_Keck1_v1,II,0.03,II/iPTF15crj/DBSP phase-band : u-,Sc,0.23081067,0.7691893,u,1.4
ZTF18aagtcxj_20180410_P200_v1.ascii,binnings/ZTF18aagtcxj_20180410_P200_v1,Ia 91bg-like,0.0304,Ia 91bg-like/2005bl/CAFOS phase-band : -5.91B,Sa,0.86799175,0.13200822,-5.91,-2.0
ZTF18aagteoy_20180404_DCT_v3.ascii,binnings/ZTF18aagteoy_20180404_DCT_v3,IIb-flash,0.049875,IIb-flash/2013cu_early/DEIMOS phase-band : -7.0V,E,0.8234814,0.1765186,-7.0,-2.0
ZTF18aahatvc_20200518_P60_v1.ascii,binnings/ZTF18aahatvc_20200518_P60_v1,Ia-CSM-(ambigious),0.079745,Ia-CSM-(ambigious)/2002ic/BC-Magellan phase-band : 2.0B,Sa,0.921165,0.078835025,2.0,-0.4
ZTF18aahatvc_20200522_P60_v1.ascii,binnings/ZTF18aahatvc_20200522_P60_v1,Ia-CSM,0.08169,Ia-CSM/2016iks/EFOSC2-NTT phase-band : u-,Sc,0.944331,0.05566904,u,-2.0
ZTF18aahatvc_20200527_P200_v1.ascii,binnings/ZTF18aahatvc_20200527_P200_v1,Ia-norm,0.0778,Ia-norm/2013dy/HET-LRS phase-band : 15.45B,SB1,0.55827534,0.44172463,15.45,-2.0
ZTF18aahatvc_20200527_P200_v4.ascii,binnings/ZTF18aahatvc_20200527_P200_v4,Ia-norm,0.0778,Ia-norm/2013dy/HET-LRS phase-band : 15.45B,SB1,0.55827534,0.44172463,15.45,-2.0
ZTF18aahatvc_20200527_P200_v5.ascii,binnings/ZTF18aahatvc_20200527_P200_v5,Ia-norm,0.0778,Ia-norm/2013dy/HET-LRS phase-band : 15.45B,SB1,0.55827534,0.44172463,15.45,-2.0
ZTF18aahjaxz_20180419_P60_v1.ascii,binnings/ZTF18aahjaxz_20180419_P60_v1,Ia-norm,0.0451915,Ia-norm/2012fr/KAST phase-band : 2.28B,SB1,0.95904267,0.04095731,2.28,-0.2
ZTF18aahjaxz_20180419_P60_v2.ascii,binnings/ZTF18aahjaxz_20180419_P60_v2,Ia-norm,0.0451915,Ia-norm/2012fr/KAST phase-band : 2.28B,SB1,0.95904267,0.04095731,2.28,-0.2
ZTF18aahjaxz_20180419_P60_v4.ascii,binnings/ZTF18aahjaxz_20180419_P60_v4,Ia-norm,0.0451915,Ia-norm/2012fr/KAST phase-band : 2.28B,SB1,0.95904267,0.04095731,2.28,-0.2
ZTF18aahjaxz_20180421_P60_v1.ascii,binnings/ZTF18aahjaxz_20180421_P60_v1,Ia 91bg-like,0.04757,Ia 91bg-like/1999by/FAST phase-band : 3.0B,S0,0.827156,0.172844,3.0,1.6
ZTF18aahjaxz_20180421_P60_v2.ascii,binnings/ZTF18aahjaxz_20180421_P60_v2,Ia 91bg-like,0.04757,Ia 91bg-like/1999by/FAST phase-band : 3.0B,S0,0.827156,0.172844,3.0,1.6
ZTF18aahjaxz_20180428_LT_v1.ascii,binnings/ZTF18aahjaxz_20180428_LT_v1,IIb-flash,0.0451915,IIb-flash/2013cu_early/DEIMOS phase-band : -7.0V,E,0.85168844,0.14831154,-7.0,-2.0
ZTF18aahmhxu_20180717_P200_v1.ascii,binnings/ZTF18aahmhxu_20180717_P200_v1,SLSN-IIn,0.167,SLSN-IIn/PTF10jwd/LRIS phase-band : u-,Sa,0.8891824,0.110817604,u,-0.8
ZTF18aahqkbt_20180520_P60_v1.ascii,binnings/ZTF18aahqkbt_20180520_P60_v1,II-flash,0.05355,II-flash/iPTF15crj_early/GMOS phase-band : u-,Sc,0.89702946,0.10297056,u,-2.0
ZTF18aahqkbt_20191023_DCT_v1.ascii,binnings/ZTF18aahqkbt_20191023_DCT_v1,IIb-flash,0.051,IIb-flash/2013cu_early/DEIMOS phase-band : -7.0V,E,0.8554059,0.14459406,-7.0,-2.0
ZTF18aaisqmw_20201223_LT_v1.ascii,binnings/ZTF18aaisqmw_20201223_LT_v1,IIb-flash,0.0540175,IIb-flash/2013cu_early/DEIMOS phase-band : -7.0V,E,0.83847076,0.16152927,-7.0,-2.0
ZTF18aaisyyp_20190403_Keck1_v1.ascii,binnings/ZTF18aaisyyp_20190403_Keck1_v1,SLSN-I,0.132,SLSN-I/PTF10nmn/LRIS phase-band : u-,SB2,0.5807971,0.41920292,u,2.0
ZTF18aaizerg_20200114_P60_v1.ascii,binnings/ZTF18aaizerg_20200114_P60_v1,Ia-CSM,0.0667875,Ia-CSM/2019fcg/EFOSC2-NTT phase-band : u-,Sc,0.9905952,0.009404758,u,-2.0
ZTF18aajivpr_20200416_P60_v2.ascii,binnings/ZTF18aajivpr_20200416_P60_v2,IIn,0.054075,IIn/2008fq/LDSS-3 phase-band : -2.0B,SB1,0.9521441,0.0478559,-2.0,-0.6
ZTF18aajpjdi_20180425_P60_v1.ascii,binnings/ZTF18aajpjdi_20180425_P60_v1,II,0.07087,II/2013fs/ALFOSC phase-band : 6.24B,SB1,0.99962384,0.00037618892,6.24,-0.6
ZTF18aajqcue_20180609_P200_v1.ascii,binnings/ZTF18aajqcue_20180609_P200_v1,IIb,0.069825,IIb/2008ax/CAFOS phase-band : -3.2B,Sb,0.6117542,0.38824582,-3.2,-2.0
ZTF18aajqcue_20190104_Keck1_v1.ascii,binnings/ZTF18aajqcue_20190104_Keck1_v1,Ca-Ib,0.069825,Ca-Ib/iPTF15eqv/MMT-Blue phase-band : u-,Sb,0.031818226,0.9681818,u,2.0
ZTF18aajtlbf_20180420_P200_v1.ascii,binnings/ZTF18aajtlbf_20180420_P200_v1,Ia 91bg-like,0.0273,Ia 91bg-like/2015ac/KAST phase-band : u-,SB2,0.7801168,0.21988322,u,1.2
ZTF18aajupnt_20180821_Gemini_N_v1.ascii,binnings/ZTF18aajupnt_20180821_Gemini_N_v1,IIb-flash,0.0367,IIb-flash/2013cu_early/DEIMOS phase-band : -7.0V,E,0.98852587,0.011474143,-7.0,-2.0
ZTF18aajupnt_20180901_HST_v1.ascii,binnings/ZTF18aajupnt_20180901_HST_v1,IIb-flash,0.038535,IIb-flash/2013cu_early/DEIMOS phase-band : -7.0V,E,,,-7.0,-2.0
ZTF18aajupnt_20190303_HST_v1.ascii,binnings/ZTF18aajupnt_20190303_HST_v1,IIb-flash,0.034865,IIb-flash/2013cu_early/DEIMOS phase-band : -7.0V,E,,,-7.0,-2.0
ZTF18aajupnt_20190629_DCT_v2.ascii,binnings/ZTF18aajupnt_20190629_DCT_v2,IIb-flash,0.0357825,IIb-flash/2013cu_early/DEIMOS phase-band : -7.0V,E,0.86968136,0.13031866,-7.0,-2.0
ZTF18aakfabl_20181201_Keck1_v1.ascii,binnings/ZTF18aakfabl_20181201_Keck1_v1,II,0.035875,II/iPTF15crj/DBSP phase-band : u-,Sa,0.91408354,0.08591646,u,-0.4
ZTF18aakiwbs_20200415_P60_v1.ascii,binnings/ZTF18aakiwbs_20200415_P60_v1,IIn,0.06765,IIn/2008fq/LDSS-3 phase-band : -2.0B,SB1,0.9171686,0.082831405,-2.0,-0.4
