,ZTF_Name,sn_type,Closest
0,ZTF18aagrdcs,Ib,Ia-91T
1,ZTF18aapgrxo,SLSN-I,Ia-norm
2,ZTF18aapictz,Ia-91T,Ic-norm
3,ZTF18aapifti,II,Ia-pec
4,ZTF18aaqehoc,Ia,Ic-broad
5,ZTF18aaqkdwf,ambiguous,Ic-norm
6,ZTF18aaqkoyr,II,Ib-norm
7,ZTF18aarasof,IIn,AGN
8,ZTF18aarcchg,ambiguous,Gal
9,ZTF18aasxvsg,IIb,Ia-csm
10,ZTF18aauxzle,II,Ic-norm
11,ZTF18aavskep,IIn,AGN
12,ZTF18aaxdrjn,Ia,Ic-norm
13,ZTF18aaxkqgy,II,Ia-91T
14,ZTF18aaxmixe,Ia,Ic-norm
15,ZTF18aaxnqjb,II,Gal
16,ZTF18aaxxfgs,IIn,IIP
17,ZTF18aaygwqd,Ib,Gal
18,ZTF18abauprj,Ia-91T,Ia-pec
19,ZTF18abcfdzu,SLSN-II,Ic-norm
20,ZTF18abclfee,Ia-02cx,Ia-91T
21,ZTF18abcsgvj,Ia,IIP
22,ZTF18abcyilc,Ia-02cx,Ia-91T
23,ZTF18abdbysy,II,Ic-broad
24,ZTF18abdffeo,Ib/c,Gal
25,ZTF18abdgwxn,Ia,IIn
26,ZTF18abdhsfc,Ia-91T,Ia-norm
27,ZTF18abdmlya,IIb,Ia-pec
28,ZTF18abdpvnd,Ia-SC,Ia-norm
29,ZTF18abeamgv,Ib,IIP
30,ZTF18abecbks,Ic,Ia-norm
31,ZTF18abetehf,Ia,Ic-broad
32,ZTF18abfzhct,Ic,Ib-pec
33,ZTF18abgmcmv,Ia-91T,AGN
34,ZTF18abgrbjb,IIb,Ia-norm
35,ZTF18abhhnnv,Ic-BL,Ia-norm
36,ZTF18abimhfu,II,Ia-norm
37,ZTF18abjdjge,Ia-91T,Ia-pec
38,ZTF18abjrbza,Ic,Ia-pec
39,ZTF18abkjnqy,Ic,Ia-norm
40,ZTF18abltfho,IIn,II-pec
41,ZTF18ablwafp,SLSN-I,Ia-norm
42,ZTF18abncimo,Ia,Gal
43,ZTF18abqbuaj,Ibn,Ia-norm
44,ZTF18abqyvzy,II,Ic-norm
45,ZTF18abrfchj,Ic,Gal
46,ZTF18abrytwr,Ia,IIb
47,ZTF18absgnio,Ia,Ic-norm
48,ZTF18abshezu,SLSN-I,Ia-91T
49,ZTF18absliyc,Ic,Ia-91T
50,ZTF18abtogdl,Ia,II-pec
51,ZTF18abtswjk,IIn,Gal
52,ZTF18abucxcj,II,Gal
53,ZTF18abuhzfc,Ia,IIb
54,ZTF18abuicad,SLSN-II,IIn
55,ZTF18abupgps,Ia-91T,Ia-csm
56,ZTF18abuqhje,ambiguous,Gal
57,ZTF18abvgivy,II,Ia-91T
58,ZTF18abvgjft,II,Ia-norm
59,ZTF18abvgjyl,SLSN-I,Ia-91T
60,ZTF18abvkmgw,Ib,IIP
61,ZTF18abvmlow,II,Ic-norm
62,ZTF18abvzdvj,II,Ic-broad
63,ZTF18abwbaim,Ia,Ib-pec
64,ZTF18abxbmqh,SLSN-II,Ic-norm
65,ZTF18abxdtyz,II,Ia-norm
66,ZTF18abxjekh,II,Gal
67,ZTF18abzscns,II,Ia-norm
68,ZTF18acahvwm,IIb,Ia-pec
69,ZTF18acapyww,SLSN-I,Ia-norm
70,ZTF18acbuemc,II,Ic-norm
71,ZTF18acbvcmw,Ia,IIn
72,ZTF18acbvhfl,SLSN-II,II-pec
73,ZTF18acbvpzj,Ia-SC,Ia-norm
74,ZTF18acbwavp,Ia-91T,Ib-pec
75,ZTF18acbwaxk,II-87A,IIP
76,ZTF18acbwopo,II,Ic-broad
77,ZTF18acbwvsp,IIn,Ic-norm
78,ZTF18acbwxcc,Ic-BL,Ib-pec
79,ZTF18acbwymh,Ia,Ic-broad
80,ZTF18acbxsap,Ia-91T,Ia-pec
81,ZTF18acbxudr,II,Gal
82,ZTF18acbznkf,Ia,Ic-norm
83,ZTF18accdzju,IIn,AGN
84,ZTF18acdxhus,Ia,Ic-norm
85,ZTF18acefuhk,IIn,Ia-norm
86,ZTF18acenqto,SLSN-I,Ia-norm
87,ZTF18acgvgiq,II,Ia-csm
88,ZTF18acqphpd,Ic-BL,Ia-norm
89,ZTF18acqxyiq,IIb,Ia-norm
90,ZTF18acslbve,Ia-02cx,Ia-pec
91,ZTF18acsycnc,Ia,Ib-norm
92,ZTF18acszayr,IIn,Ib-pec
93,ZTF18actuhrs,IIn,IIL
94,ZTF18acuqskr,II,Gal
95,ZTF18acvgyst,II,Ia-norm
96,ZTF18acvwbos,Ia-91T,Ia-pec
97,ZTF18acwzyor,IIn,IIP
98,ZTF18acxgoki,Ic,Gal
99,ZTF18aczcumi,Ib/c,Ia-91bg
100,ZTF18aczdtgn,Ia-91T,Ia-norm
