,ZTF_Name,sn_type,Good
0,ZTF18aagrdcs,Ib,Ia-91T
1,ZTF18aamftst,IIn,II-pec
2,ZTF18aapgrxo,SLSN-I,Ia-norm
3,ZTF18aapictz,Ia-91T,II-pec
4,ZTF18aapifti,II,Ia-pec
5,ZTF18aaqehoc,Ia,Ic-broad
6,ZTF18aaqkdwf,ambiguous,Ia-norm
7,ZTF18aaqkoyr,II,Ia-norm
8,ZTF18aarcchg,ambiguous,IIP
9,ZTF18aasxvsg,IIb,Ia-pec
10,ZTF18aasycpd,IIb,Ia-norm
11,ZTF18aauxzle,II,Ia-pec
12,ZTF18aavskep,IIn,II-pec
13,ZTF18aaxiuyp,Ic,Ia-norm
14,ZTF18aaxkqgy,II,Ia-91T
15,ZTF18aaxmhvk,Ic,Ia-norm
16,ZTF18aaxnqjb,II,Ic-broad
17,ZTF18aaxxfgs,IIn,IIP
18,ZTF18aaygwqd,Ib,Gal
19,ZTF18abauprj,Ia-91T,Ia-norm
20,ZTF18abbpyvk,II,Ia-norm
21,ZTF18abcfdzu,SLSN-II,Ia-norm
22,ZTF18abclfee,Ia-02cx,Ia-norm
23,ZTF18abcyilc,Ia-02cx,Ia-norm
24,ZTF18abdbysy,II,Ic-broad
25,ZTF18abdffeo,Ib/c,IIn
26,ZTF18abdgwxn,Ia,IIn
27,ZTF18abdhsfc,Ia-91T,Ia-norm
28,ZTF18abdiwpt,Ia-91T,Ia-norm
29,ZTF18abdjmfh,II,Ia-norm
30,ZTF18abdkkwa,Ic,Ia-91bg
31,ZTF18abdmlya,IIb,Ia-norm
32,ZTF18abdpvnd,Ia-SC,Ia-norm
33,ZTF18abecbks,Ic,Ia-norm
34,ZTF18abffyqp,IIb,Ia-norm
35,ZTF18abfzhct,Ic,Ib-norm
36,ZTF18abgmcmv,Ia-91T,II-pec
37,ZTF18abgrbjb,IIb,Ia-norm
38,ZTF18abhhnnv,Ic-BL,Ia-norm
39,ZTF18abimhfu,II,Ia-norm
40,ZTF18abjrbza,Ic,Ia-csm
41,ZTF18abkjnqy,Ic,Ia-norm
42,ZTF18abltfho,IIn,II-pec
43,ZTF18ablwafp,SLSN-I,Ia-norm
44,ZTF18aboabxv,Ic,Ia-norm
45,ZTF18abpmmpo,Ia-91T,Ia-norm
46,ZTF18abqbuaj,Ibn,Ia-norm
47,ZTF18abqyvzy,II,Ia-norm
48,ZTF18abrfchj,Ic,IIn
49,ZTF18abshezu,SLSN-I,Ia-norm
50,ZTF18absliyc,Ic,Ia-norm
51,ZTF18abtswjk,IIn,II-pec
52,ZTF18abuicad,SLSN-II,IIn
53,ZTF18abuncpe,Ia-91T,Ia-norm
54,ZTF18abupgps,Ia-91T,Ia-norm
55,ZTF18abuqhje,ambiguous,II-pec
56,ZTF18abvgivy,II,Ia-91T
57,ZTF18abvgjft,II,Ia-norm
58,ZTF18abvgjyl,SLSN-I,Ia-norm
59,ZTF18abvkmgw,Ib,IIP
60,ZTF18abvmlow,II,Ic-norm
61,ZTF18abvzdvj,II,Ic-broad
62,ZTF18abwkrbl,IIb,IIP
63,ZTF18abwlonm,Ia-91T,Ia-norm
64,ZTF18abxbmqh,SLSN-II,Ic-norm
65,ZTF18abxdtyz,II,Ia-norm
66,ZTF18abxjekh,II,Ia-91bg
67,ZTF18abzscns,II,Ia-norm
68,ZTF18acahuph,Ia-91T,Ia-norm
69,ZTF18acahvwm,IIb,Ia-norm
70,ZTF18acapyww,SLSN-I,Ia-norm
71,ZTF18acbuemc,II,Ic-norm
72,ZTF18acbvcmw,Ia,IIn
73,ZTF18acbvgry,Ia-91T,Ia-norm
74,ZTF18acbvhfl,SLSN-II,II-pec
75,ZTF18acbvhit,II,Ia-norm
76,ZTF18acbvpzj,Ia-SC,Ia-norm
77,ZTF18acbwavp,Ia-91T,Ic-broad
78,ZTF18acbwaxk,II-87A,II-pec
79,ZTF18acbwopo,II,Gal
80,ZTF18acbwtng,II,Ic-norm
81,ZTF18acbwvsp,IIn,Ic-norm
82,ZTF18acbwxcc,Ic-BL,Ia-norm
83,ZTF18acbwxou,Ia-91T,Ia-norm
84,ZTF18acbwymh,Ia,Ic-broad
85,ZTF18acbxkop,II,Ia-norm
86,ZTF18acbznkf,Ia,Ic-norm
87,ZTF18accbwow,II,Ic-norm
88,ZTF18accdzju,IIn,II-pec
89,ZTF18acceaem,Ic,II-pec
90,ZTF18accpjkb,Ia,Ic-norm
91,ZTF18acdxhus,Ia,Ic-norm
92,ZTF18acefuhk,IIn,Ia-norm
93,ZTF18acenqto,SLSN-I,Ia-norm
94,ZTF18acgvgiq,II,Ia-norm
95,ZTF18achtnvk,II,Gal
96,ZTF18acnbeuu,Ia-91T,Ia-norm
97,ZTF18acqphpd,Ic-BL,Ia-norm
98,ZTF18acqxyiq,IIb,Ia-norm
99,ZTF18acslbve,Ia-02cx,Ia-91T
100,ZTF18acsycnc,Ia,Ib-norm
101,ZTF18acszayr,IIn,Ib-pec
102,ZTF18actuhrs,IIn,II-pec
103,ZTF18acuqskr,II,Gal
104,ZTF18acvgyst,II,Ia-norm
105,ZTF18acvwbos,Ia-91T,Ia-norm
106,ZTF18acwzyor,IIn,IIP
107,ZTF18acxgoki,Ic,IIP
108,ZTF18aczcumi,Ib/c,Ia-91bg
109,ZTF18aczdtgn,Ia-91T,Ia-norm
110,ZTF18adbclkd,II,Ia-norm
