,ZTF_Name,sn_type,Top15
0,ZTF18aagrdcs,Ib,Ia-91T
1,ZTF18aamftst,IIn,II-pec
2,ZTF18aapgrxo,SLSN-I,Ia-norm
3,ZTF18aapictz,Ia-91T,IIn
4,ZTF18aapifti,II,Ia-pec
5,ZTF18aaqehoc,Ia,Ic-broad
6,ZTF18aaqkdwf,ambiguous,Ic-norm
7,ZTF18aaqkoyr,II,Ic-norm
8,ZTF18aarcchg,ambiguous,Gal
9,ZTF18aasxvsg,IIb,Ia-pec
10,ZTF18aauxzle,II,Ia-norm
11,ZTF18aaxdrjn,Ia,Ic-norm
12,ZTF18aaxkqgy,II,Ia-91T
13,ZTF18aaxnqjb,II,Gal
14,ZTF18aaxxfgs,IIn,IIP
15,ZTF18aaygwqd,Ib,Gal
16,ZTF18aaykmzg,Ia,IIP
17,ZTF18abauprj,Ia-91T,Ia-norm
18,ZTF18abbpyvk,II,Ia-norm
19,ZTF18abcfdzu,SLSN-II,Ia-norm
20,ZTF18abclfee,Ia-02cx,Ia-pec
21,ZTF18abcyilc,Ia-02cx,Ia-norm
22,ZTF18abdbysy,II,Ia-norm
23,ZTF18abdffeo,Ib/c,IIn
24,ZTF18abdgwxn,Ia,IIn
25,ZTF18abdhsfc,Ia-91T,Ia-norm
26,ZTF18abdjmfh,II,Ia-norm
27,ZTF18abdkkwa,Ic,Ia-91bg
28,ZTF18abdmlya,IIb,Ia-pec
29,ZTF18abdpvnd,Ia-SC,Ia-norm
30,ZTF18abecbks,Ic,Ia-norm
31,ZTF18abfzhct,Ic,Ib-pec
32,ZTF18abgmcmv,Ia-91T,Gal
33,ZTF18abgrbjb,IIb,Ia-norm
34,ZTF18abhhnnv,Ic-BL,Ia-norm
35,ZTF18abimhfu,II,Ia-norm
36,ZTF18abjrbza,Ic,Ia-csm
37,ZTF18abkjnqy,Ic,IIP
38,ZTF18abktmfz,Ib,Ic-norm
39,ZTF18abltfho,IIn,II-pec
40,ZTF18ablwafp,SLSN-I,Ia-norm
41,ZTF18abmdpwe,II,Ia-91T
42,ZTF18abncimo,Ia,Gal
43,ZTF18abqbuaj,Ibn,Ia-norm
44,ZTF18abqyvzy,II,Ia-91T
45,ZTF18abrfchj,Ic,Gal
46,ZTF18abshezu,SLSN-I,Ia-norm
47,ZTF18absliyc,Ic,Ia-norm
48,ZTF18abtmtfy,Ia,Ib-pec
49,ZTF18abucxcj,II,Gal
50,ZTF18abuicad,SLSN-II,IIn
51,ZTF18abupgps,Ia-91T,Ia-norm
52,ZTF18abuqhje,ambiguous,Gal
53,ZTF18abvgjft,II,Ia-norm
54,ZTF18abvgjyl,SLSN-I,Ia-91T
55,ZTF18abvglon,Ia,IIn
56,ZTF18abvkmgw,Ib,IIP
57,ZTF18abvmlow,II,Ic-norm
58,ZTF18abvzdvj,II,Ic-broad
59,ZTF18abwkrbl,IIb,IIP
60,ZTF18abwlonm,Ia-91T,Ia-norm
61,ZTF18abxbmqh,SLSN-II,Gal
62,ZTF18abxdtyz,II,Ib-norm
63,ZTF18abxjekh,II,Ia-norm
64,ZTF18abzscns,II,Ia-norm
65,ZTF18acahvwm,IIb,Ia-pec
66,ZTF18acapyww,SLSN-I,IIP
67,ZTF18acbuemc,II,Ic-norm
68,ZTF18acbvcmw,Ia,IIn
69,ZTF18acbvhfl,SLSN-II,II-pec
70,ZTF18acbvpzj,Ia-SC,Ia-norm
71,ZTF18acbwavp,Ia-91T,Ia-91bg
72,ZTF18acbwaxk,II-87A,IIP
73,ZTF18acbwopo,II,Gal
74,ZTF18acbwtng,II,Gal
75,ZTF18acbwvsp,IIn,IIb
76,ZTF18acbwxcc,Ic-BL,Ia-norm
77,ZTF18acbwxou,Ia-91T,Ia-norm
78,ZTF18acbwymh,Ia,Ic-broad
79,ZTF18acbxudr,II,Gal
80,ZTF18acbznkf,Ia,Ic-norm
81,ZTF18acbzvpg,IIb,Ia-norm
82,ZTF18accdzju,IIn,II-pec
83,ZTF18accpjkb,Ia,Ic-norm
84,ZTF18acefuhk,IIn,IIP
85,ZTF18acenqto,SLSN-I,Ia-norm
86,ZTF18acgvgiq,II,Ia-csm
87,ZTF18achtnvk,II,Gal
88,ZTF18acqphpd,Ic-BL,Ia-norm
89,ZTF18acqxyiq,IIb,Ia-norm
90,ZTF18acslbve,Ia-02cx,Ia-pec
91,ZTF18acszayr,IIn,Ia-norm
92,ZTF18acuqskr,II,Gal
93,ZTF18acvwbos,Ia-91T,Ia-pec
94,ZTF18acwzyor,IIn,IIP
95,ZTF18acxgoki,Ic,IIn
96,ZTF18aczcumi,Ib/c,Ia-91bg
97,ZTF18aczdtgn,Ia-91T,Ia-norm
