,ZTF_Name,SNID_Class,Class,Version
0,ZTF18aamigmk,Ia-norm,Ia,ZTF18aamigmk_20180608_P60_v1.ascii
1,ZTF18aaroihe,Ia-norm,Ia,ZTF18aaroihe_20180519_P60_v2.ascii
2,ZTF18aasprui,Ia-norm,Ia,ZTF18aasprui_20180818_P60_v1.ascii
3,ZTF18aauizcr,Ia-norm,Ia,ZTF18aauizcr_20180519_P60_v2.ascii
4,ZTF18aauxltf,Ia-norm,Ia,ZTF18aauxltf_20180524_P60_v1.ascii
5,ZTF18aavjnfx,Ia-norm,Ia,ZTF18aavjnfx_20180524_P60_v1.ascii
6,ZTF18aavnvmp,Ia-norm,Ia,ZTF18aavnvmp_20180530_P60_v1.ascii
7,ZTF18aavrwhu,Ia-norm,Ia,ZTF18aavrwhu_20180531_P60_v1.ascii
8,ZTF18aavrzxp,Ia-norm,Ia,ZTF18aavrzxp_20180605_P60_v1.ascii
9,ZTF18aawczad,Ia-norm,Ia,ZTF18aawczad_20180609_P60_v1.ascii
10,ZTF18aawdpnm,Ia-norm,Ia,ZTF18aawdpnm_20180605_P60_v1.ascii
11,ZTF18aawpcel,Ia-norm,Ia,ZTF18aawpcel_20180611_P60_v1.ascii
12,ZTF18aaxcxih,Ia-norm,Ia,ZTF18aaxcxih_20180605_P60_v1.ascii
13,ZTF18aaxkfos,Ia-norm,Ia,ZTF18aaxkfos_20180610_P60_v1.ascii
14,ZTF18aaxtcdm,Ia-norm,Ia,ZTF18aaxtcdm_20180615_P60_v1.ascii
15,ZTF18aaxwjmp,Ia-norm,Ia,ZTF18aaxwjmp_20180620_P60_v1.ascii
16,ZTF18aaxxewy,Ia-norm,Ia,ZTF18aaxxewy_20180615_P60_v1.ascii
17,ZTF18aayiahw,Ia-norm,Ia,ZTF18aayiahw_20180622_P60_v1.ascii
18,ZTF18aayjvve,Ia-norm,Ia,ZTF18aayjvve_20180612_P60_v1.ascii
19,ZTF18aazjztm,Ia-norm,Ia,ZTF18aazjztm_20180619_P60_v1.ascii
20,ZTF18aazsabq,Ia-norm,Ia,ZTF18aazsabq_20180621_P60_v1.ascii
21,ZTF18aazxthg,Ia-norm,Ia,ZTF18aazxthg_20180620_P60_v1.ascii
22,ZTF18abaeawz,Ia-norm,Ia,ZTF18abaeawz_20180621_P60_v1.ascii
23,ZTF18abaxlpi,Ia-norm,Ia,ZTF18abaxlpi_20180625_P60_v1.ascii
