,ZTF_Name,Version,subject_ids,NoMatch,#1,#2,#3,#4,#5
0,ZTF17aaajnki,ZTF17aaajnki_20180320_P60_v2.ascii,53623567,1,9,2,0,0,0
1,ZTF17aaapufz,ZTF17aaapufz_20190304_P200_v1.ascii,53623569,1,9,0,1,0,0
2,ZTF17aaaukqn,ZTF17aaaukqn_20180904_P60_v1.ascii,53623570,4,7,0,0,0,0
3,ZTF17aaazdba,ZTF17aaazdba_20190315_P60_v1.ascii,53623579,7,3,0,0,0,1
4,ZTF17aaazdba,ZTF17aaazdba_20190424_P60_v1.ascii,53623588,2,0,1,7,1,0
5,ZTF17aaazdba,ZTF17aaazdba_20190925_Keck1_v4.ascii,53623594,0,11,0,0,0,0
6,ZTF17aaburzk,ZTF17aaburzk_20180717_P60_v1.ascii,53623599,7,0,1,1,0,2
7,ZTF18aaabltn,ZTF18aaabltn_20190502_DCT_v1.ascii,53623603,0,1,7,1,1,1
8,ZTF18aaadtdc,ZTF18aaadtdc_20181106_P60_v1.ascii,53623604,0,10,0,0,0,0
9,ZTF18aaaibml,ZTF18aaaibml_20200219_Keck1_v1.ascii,53623608,1,7,1,0,2,0
10,ZTF18aaakpbx,ZTF18aaakpbx_20180928_P60_v2.ascii,53623609,0,2,1,1,2,4
11,ZTF18aaakpsa,ZTF18aaakpsa_20180910_P60_v1.ascii,53623610,1,2,2,0,6,0
12,ZTF18aaaokus,ZTF18aaaokus_20181110_P60_v1.ascii,53623611,1,2,2,0,1,5
13,ZTF18aaaqexr,ZTF18aaaqexr_20200220_P60_v1.ascii,53623613,8,1,1,1,0,0
14,ZTF18aabcvnq,ZTF18aabcvnq_20180604_P60_v1.ascii,53623614,7,0,0,0,3,1
15,ZTF18aabfxpw,ZTF18aabfxpw_20181220_P60_v1.ascii,53623615,5,2,4,0,0,0
16,ZTF18aabicqe,ZTF18aabicqe_20181103_P60_v1.ascii,53623616,0,9,1,0,0,1
17,ZTF18aabilqu,ZTF18aabilqu_20180522_P60_v1.ascii,53623618,0,2,6,0,2,1
18,ZTF18aabssth,ZTF18aabssth_20180309_P60_v1.ascii,53623619,1,4,1,1,0,3
19,ZTF18aabtahy,ZTF18aabtahy_20180308_P200_v1.ascii,53623620,1,4,0,1,2,2
20,ZTF18aabtxvd,ZTF18aabtxvd_20180326_P60_v1.ascii,53623622,4,1,0,0,0,6
21,ZTF18aabtxvd,ZTF18aabtxvd_20180404_DCT_v3.ascii,53623625,4,0,1,0,5,1
22,ZTF18aabtxvd,ZTF18aabtxvd_20180411_DCT_v2.ascii,53623626,0,1,1,9,0,0
23,ZTF18aabtxvd,ZTF18aabtxvd_20191023_DCT_v1.ascii,53623634,1,1,9,0,0,0
24,ZTF18aabuoud,ZTF18aabuoud_20190705_P60_v1.ascii,53623635,2,0,10,0,1,0
25,ZTF18aabvmws,ZTF18aabvmws_20181110_P60_v1.ascii,53623636,0,2,5,4,0,0
26,ZTF18aabvpbb,ZTF18aabvpbb_20180919_P60_v1.ascii,53623637,5,0,0,0,5,1
27,ZTF18aabxlsv,ZTF18aabxlsv_20181110_Keck1_v1.ascii,53623640,0,1,2,0,8,0
28,ZTF18aabybkt,ZTF18aabybkt_20180309_P60_v1.ascii,53623642,0,2,1,6,0,2
29,ZTF18aabybkt,ZTF18aabybkt_20180321_APO_v1.ascii,53623644,1,0,4,5,1,1
30,ZTF18aaccmnh,ZTF18aaccmnh_20180517_P200_v1.ascii,53623645,0,6,2,2,0,1
31,ZTF18aachojf,ZTF18aachojf_20180523_P60_v1.ascii,53623646,0,7,3,1,0,0
32,ZTF18aacopwm,ZTF18aacopwm_20181204_Keck1_v1.ascii,53623647,0,10,0,1,0,0
33,ZTF18aacsudg,ZTF18aacsudg_20191003_P200_v1.ascii,53623649,0,7,1,3,0,0
34,ZTF18aadbtae,ZTF18aadbtae_20190701_P200_v1.ascii,53623650,0,3,3,2,1,1
35,ZTF18aadkjmo,ZTF18aadkjmo_20181102_P60_v1.ascii,53623651,1,6,1,0,2,1
36,ZTF18aadnqwz,ZTF18aadnqwz_20180831_P60_v1.ascii,53623652,0,5,1,2,2,1
37,ZTF18aadqmyy,ZTF18aadqmyy_20190324_P60_v1.ascii,53623653,0,3,1,3,3,0
38,ZTF18aadzfso,ZTF18aadzfso_20200208_LT_v1.ascii,53623654,1,5,1,2,1,0
39,ZTF18aaegvyd,ZTF18aaegvyd_20190625_P60_v1.ascii,53623655,3,0,3,1,1,3
40,ZTF18aaekkoj,ZTF18aaekkoj_20180514_Keck1_v1.ascii,53623656,0,4,3,2,2,0
41,ZTF18aaemivw,ZTF18aaemivw_20181104_P60_v1.ascii,53623657,0,10,0,0,1,0
