ZTF_Name,Class,col3,col4,col5,col6,col7,Version,col9
ZTF18aabssth,II,0.026,0.022914,2458186.5,2459600.24,-1413.74,ZTF18aabssth_20180309_P60_v1.ascii,1
ZTF18aabtxvd,TDE,0.071,,2458184.5,2459605.2,-1420.7,ZTF18aabtxvd_20180307_P60_v1.ascii,0
ZTF18aabtxvd,TDE,0.071,,2458203.5,2459605.2,-1401.7,ZTF18aabtxvd_20180326_P60_v1.ascii,0
ZTF18aabtxvd,TDE,0.071,,2458204.5,2459605.2,-1400.7,ZTF18aabtxvd_20180327_P60_v1.ascii,0
ZTF18aabtxvd,TDE,0.071,,2458205.5,2459605.2,-1399.7,ZTF18aabtxvd_20180328_WHT_v1.ascii,0
ZTF18aabtxvd,TDE,0.071,,2458212.5,2459605.2,-1392.7,ZTF18aabtxvd_20180404_DCT_v3.ascii,0
ZTF18aabtxvd,TDE,0.071,,2458219.5,2459605.2,-1385.7,ZTF18aabtxvd_20180411_DCT_v2.ascii,0
ZTF18aabtxvd,TDE,0.071,,2458219.5,2459605.2,-1385.7,ZTF18aabtxvd_20180411_P200_v1.ascii,0
ZTF18aabtxvd,TDE,0.071,,2458225.5,2459605.2,-1379.7,ZTF18aabtxvd_20180417_Keck1_v1.ascii,0
ZTF18aabtxvd,TDE,0.071,,2458227.5,2459605.2,-1377.7,ZTF18aabtxvd_20180419_Gemini_N_v1.ascii,0
ZTF18aabtxvd,TDE,0.071,,2458243.5,2459605.2,-1361.7,ZTF18aabtxvd_20180505_Gemini_N_v1.ascii,0
ZTF18aabtxvd,TDE,0.071,,2458244.5,2459605.2,-1360.7,ZTF18aabtxvd_20180506_DCT_v1.ascii,0
ZTF18aabtxvd,TDE,0.071,,2458251.5,2459605.2,-1353.7,ZTF18aabtxvd_20180513_DCT_v1.ascii,0
ZTF18aabtxvd,TDE,0.071,,2458257.5,2459605.2,-1347.7,ZTF18aabtxvd_20180519_DCT_v2.ascii,0
ZTF18aabtxvd,TDE,0.071,,2458779.5,2459605.2,-825.7,ZTF18aabtxvd_20191023_DCT_v1.ascii,0
ZTF18aabtahy,-,0.0304,,2458185.5,2459600.33,-1414.83,ZTF18aabtahy_20180308_P200_v1.ascii,0
ZTF18aabxlsv,Ib,0.055,0.04797,2458248.5,2459606.21,-1357.71,ZTF18aabxlsv_20180510_P60_v1.ascii,1
ZTF18aabxlsv,Ib,0.055,0.04797,2458255.5,2459606.21,-1350.71,ZTF18aabxlsv_20180517_P200_v1.ascii,1
ZTF18aabxlsv,Ib,0.055,0.04797,2458432.5,2459606.21,-1173.71,ZTF18aabxlsv_20181110_Keck1_v1.ascii,1
ZTF18aagrdcs,Ib,0.024,0.01814,2458227.5,2459599.43,-1371.93,ZTF18aagrdcs_20180419_P200_v1.ascii,1
ZTF18aagrdcs,Ib,0.024,0.01814,2458227.5,2459599.43,-1371.93,ZTF18aagrdcs_20180419_TNG_v1.ascii,1
ZTF18aagrtxs,Ia,0.018,0.029664,2458205.5,2459596.26,-1390.76,ZTF18aagrtxs_20180328_P60_v1.ascii,1
ZTF18aagstdc,Ia,0.038,,2458210.5,2459592.39,-1381.89,ZTF18aagstdc_20180402_P60_v1.ascii,1
ZTF18aagteoy,AGN,0.0475,,2458212.5,2460151.12,-1938.62,ZTF18aagteoy_20180404_DCT_v3.ascii,0
ZTF18aagtcxj,Ia,0.033,0.032402,2458218.5,2459601.48,-1382.98,ZTF18aagtcxj_20180410_P200_v1.ascii,1
ZTF18aagtevs,CLAGN,0.0342,,2458212.5,2459688.2,-1475.7,ZTF18aagtevs_20180404_DCT_v2.ascii,0
ZTF18aahfxnn,Ia,0.074,,2458218.5,2459609.28,-1390.78,ZTF18aahfxnn_20180410_P200_v1.ascii,1
ZTF18aagpzjk,II,0.013,0.016308,2458197.5,2459599.19,-1401.69,ZTF18aagpzjk_20180320_P60_v1.ascii,1
ZTF18aagpzjk,II,0.013,0.016308,2458218.5,2459599.19,-1380.69,ZTF18aagpzjk_20180410_P200_v1.ascii,1
ZTF18aahesrp,Ia,0.051,,2458218.5,2459599.22,-1380.72,ZTF18aahesrp_20180410_P60_v1.ascii,1
ZTF18aahfqbc,II,0.001,0.003319,2458219.5,2459596.26,-1376.76,ZTF18aahfqbc_20180411_APO_v1.ascii,1
ZTF18aahheaj,Ia,0.047,0.052717,2458219.5,2459609.3,-1389.8,ZTF18aahheaj_20180411_APO_v1.ascii,1
ZTF18aahheaj,Ia,0.047,0.052717,2458222.5,2459609.3,-1386.8,ZTF18aahheaj_20180414_LT_v1.ascii,1
