Version,Resolution,Superfit_c,Superfit_z,ZTF_Name,Zooniverse_c,rlap,agreement
AT2018hrg_20181103_P60_v1.ascii,,,,AT2018hrg,LBV,5.06,4.0
SN2017iuk_20181204_Keck1_v1.ascii,,,,SN2017iuk,Gal,5.66,8.0
ZTF17aabcpcp_20181102_P60_v1.ascii,,,,ZTF17aabcpcp,Gal,18.27,9.0
ZTF18aabcvnq_20180604_P60_v1.ascii,,,,ZTF18aabcvnq,Ia-91T,4.9,3.0
ZTF18aabybkt_20180308_P200_v1.ascii,,,,ZTF18aabybkt,II-norm,5.56,6.0
ZTF18aabybkt_20180309_P60_v1.ascii,,,,ZTF18aabybkt,II-norm,6.0,9.0
ZTF18aabybkt_20180316_P60_v1.ascii,,,,ZTF18aabybkt,Ia-norm,4.73,6.0
ZTF18aabybkt_20180321_APO_v1.ascii,,,,ZTF18aabybkt,II-norm,16.07,9.0
ZTF18aaccmnh_20180517_P200_v1.ascii,,,,ZTF18aaccmnh,II-norm,16.38,10.0
ZTF18aacsudg_20191001_P60_v1.ascii,,,,ZTF18aacsudg,Gal,10.2,9.0
ZTF18aacsudg_20191003_P200_v1.ascii,,,,ZTF18aacsudg,Gal,14.07,10.0
ZTF18aadbtae_20190701_P200_v2.ascii,ZTF18aadbtae_20190701_P200_v2_10,TDE H+He,0.0761,,,,
ZTF18aaekkoj_20180514_Keck1_v1.ascii,,,,ZTF18aaekkoj,Gal,38.09,9.0
ZTF18aaeoiwu_20191019_P60_v1.ascii,,,,ZTF18aaeoiwu,II-norm,8.27,8.0
ZTF18aaeynan_20180916_P60_v1.ascii,,,,ZTF18aaeynan,Gal,15.93,10.0
ZTF18aagpxsx_20181227_P60_v1.ascii,,,,ZTF18aagpxsx,Ic-BL,4.46,10.0
ZTF18aahfgsk_20180411_APO_v1.ascii,,,,ZTF18aahfgsk,Ia-norm,18.64,8.0
ZTF18aahjaxz_20180419_P60_v1.ascii,,,,ZTF18aahjaxz,Ia-91bg,8.17,8.0
ZTF18aahjaxz_20180419_P60_v2.ascii,,,,ZTF18aahjaxz,Ia-91bg,8.17,9.0
ZTF18aahjaxz_20180419_P60_v3.ascii,,,,ZTF18aahjaxz,Ic-SLSN,6.74,5.0
ZTF18aahjaxz_20180419_P60_v4.ascii,,,,ZTF18aahjaxz,Ia-91bg,8.17,9.0
ZTF18aahjaxz_20180421_P60_v1.ascii,,,,ZTF18aahjaxz,Ia-91bg,6.98,7.0
ZTF18aahjaxz_20180421_P60_v2.ascii,,,,ZTF18aahjaxz,Ia-91bg,6.98,9.0
ZTF18aahjaxz_20180428_LT_v1.ascii,,,,ZTF18aahjaxz,Ib-norm,4.89,5.0
ZTF18aahmxqa_20180409_P60_v2.ascii,,,,ZTF18aahmxqa,Ic-SLSN,5.03,3.0
ZTF18aahmxqa_20180409_P60_v5.ascii,,,,ZTF18aahmxqa,Ib-norm,12.86,11.0
ZTF18aahmxqa_20180409_P60_v6.ascii,,,,ZTF18aahmxqa,Ib-norm,17.38,8.0
ZTF18aahmxqa_20180410_P200_v1.ascii,,,,ZTF18aahmxqa,Ib-norm,22.62,10.0
ZTF18aahmxqa_20180417_NOT_v1.ascii,,,,ZTF18aahmxqa,Ic-norm,14.7,8.0
ZTF18aahmxqa_20180419_TNG_v1.ascii,,,,ZTF18aahmxqa,Ib-norm,19.23,5.0
ZTF18aahmxqa_20180514_Keck1_v1.ascii,,,,ZTF18aahmxqa,Ib-norm,14.36,5.0
ZTF18aahmxqa_20180712_Keck1_v1.ascii,,,,ZTF18aahmxqa,Ib-norm,12.21,11.0
ZTF18aahnnly_20180508_P200_v1.ascii,,,,ZTF18aahnnly,II-norm,12.13,11.0
ZTF18aahqfee_20180513_DCT_v1.ascii,,,,ZTF18aahqfee,II-norm,16.41,11.0
ZTF18aahqkbt_20180930_HST_v1.ascii,ZTF18aahqkbt_20180930_HST_v1_10,IIb-flash,0.04845,,,,
ZTF18aaikcbb_20180616_P200_v2.ascii,,,,ZTF18aaikcbb,II-norm,12.87,10.0
ZTF18aaikcbb_20180717_P200_v1.ascii,,,,ZTF18aaikcbb,II-norm,16.66,7.0
ZTF18aajupnt_20180901_HST_v1.ascii,ZTF18aajupnt_20180901_HST_v1_10,IIb-flash,0.034865,,,,
ZTF18aajupnt_20190303_HST_v1.ascii,ZTF18aajupnt_20190303_HST_v1_10,IIb-flash,0.034865,,,,
ZTF18aajvgel_20180916_P60_v1.ascii,,,,ZTF18aajvgel,Gal,7.12,7.0
ZTF18aakgzot_20180601_P60_v1.ascii,,,,ZTF18aakgzot,Ia-91T,6.9,7.0
ZTF18aaknyrs_20191101_P60_v1.ascii,,,,ZTF18aaknyrs,Ib-norm,6.61,2.0
ZTF18aalbpll_20180517_P200_v1.ascii,,,,ZTF18aalbpll,II-norm,19.28,8.0
ZTF18aaodnxt_20180509_P60_v1.ascii,,,,ZTF18aaodnxt,Ib-norm,6.93,1.0
ZTF18aaodnxt_20180509_P60_v2.ascii,,,,ZTF18aaodnxt,Ia-91bg,12.11,5.0
ZTF18aaodnxt_20180516_P200_v1.ascii,,,,ZTF18aaodnxt,Ia-91bg,11.22,7.0
ZTF18aaoxryq_20180807_P60_v1.ascii,,,,ZTF18aaoxryq,Ia-91T,9.03,7.0
ZTF18aaqbzfc_20180508_P200_v1.ascii,,,,ZTF18aaqbzfc,II-norm,15.42,7.0
ZTF18aaqceqh_20191213_P60_v1.ascii,,,,ZTF18aaqceqh,Gal,6.89,5.0
ZTF18aaqceqh_20191223_Keck1_v1.ascii,,,,ZTF18aaqceqh,Gal,18.9,10.0
ZTF18aaqeasu_20180508_P200_v1.ascii,,,,ZTF18aaqeasu,Ic-norm,7.02,7.0
ZTF18aaqeasu_20180508_P200_v2.ascii,,,,ZTF18aaqeasu,Ib-norm,5.99,4.0
ZTF18aaqeasu_20180514_Keck1_v1.ascii,,,,ZTF18aaqeasu,IIb,10.3,3.0
ZTF18aaqeasu_20180517_P200_v1.ascii,,,,ZTF18aaqeasu,II-norm,5.37,4.0
ZTF18aaqeasu_20180517_P200_v2.ascii,,,,ZTF18aaqeasu,Ia-csm,6.22,5.0
ZTF18aaqeasu_20180528_P60_v1.ascii,,,,ZTF18aaqeasu,Ib-norm,5.29,3.0
ZTF18aaqeasu_20180531_DCT_v1.ascii,,,,ZTF18aaqeasu,Ic-BL,5.23,8.0
ZTF18aaqeasu_20180608_P200_v2.ascii,,,,ZTF18aaqeasu,Ic-BL,8.7,2.0
ZTF18aaqeasu_20180617_Keck1_v1.ascii,,,,ZTF18aaqeasu,LBV,7.8,5.0
ZTF18aaqeasu_20180713_Keck1_v1.ascii,,,,ZTF18aaqeasu,II-norm,12.31,2.0
ZTF18aarvcmx_20180822_P60_v1.ascii,,,,ZTF18aarvcmx,IIn,4.91,5.0
ZTF18aarymnz_20180424_P60_v1.ascii,,,,ZTF18aarymnz,Ia-norm,21.43,6.0
ZTF18aasrssa_20180530_P60_v1.ascii,,,,ZTF18aasrssa,Ia-norm,5.28,4.0
ZTF18aasxguy_20181227_P200_v1.ascii,,,,ZTF18aasxguy,Gal,8.58,6.0
ZTF18aaumfla_20180613_Keck1_v1.ascii,,,,ZTF18aaumfla,Gal,13.87,6.0
ZTF18aauqdyb_20180626_P60_v1.ascii,,,,ZTF18aauqdyb,Ic-SLSN,8.3,6.0
ZTF18aautrkr_20180612_P200_v1.ascii,,,,ZTF18aautrkr,Gal,9.39,7.0
ZTF18aavjqvm_20190126_P200_v1.ascii,,,,ZTF18aavjqvm,Gal,20.37,6.0
ZTF18aavniyw_20180611_P60_v1.ascii,,,,ZTF18aavniyw,Ia-91bg,10.73,5.0
ZTF18aavytfq_20180912_P200_v2.ascii,,,,ZTF18aavytfq,Gal,22.09,9.0
ZTF18aawpzwp_20180612_P200_v1.ascii,,,,ZTF18aawpzwp,Gal,10.58,8.0
