,ZTF_Name,Version,subject_ids,Ia,Ia-norm,Ia-91T,Ia-91bg,Ia-csm,Ia-02cx,Ia-03fg,Ib,Ib-norm,IIb,Ibn,Ic,Ic-norm,Ic-BL,Ic-SLSN,II,II-norm,IIn,NotSN,AGN,Gal,LBV,M-star,QSO,C-star,TDE,NoMatch,rlap,z
0,ZTF17aaajnki,ZTF17aaajnki_20180320_P60_v2.ascii,53623567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,18.27,-0.0004
1,ZTF17aaapufz,ZTF17aaapufz_20190304_P200_v1.ascii,53623569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,28.52,0.0025
2,ZTF17aaaukqn,ZTF17aaaukqn_20180904_P60_v1.ascii,53623570,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,6.95,0.3262
3,ZTF17aaazdba,ZTF17aaazdba_20190315_P60_v1.ascii,53623579,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4.27,0.2648
4,ZTF17aaazdba,ZTF17aaazdba_20190424_P60_v1.ascii,53623588,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,6.15,0.7381
5,ZTF17aaazdba,ZTF17aaazdba_20190925_Keck1_v4.ascii,53623594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,12.26,0.0225
6,ZTF17aaburzk,ZTF17aaburzk_20180717_P60_v1.ascii,53623599,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.76,0.0333
7,ZTF18aaabltn,ZTF18aaabltn_20190502_DCT_v1.ascii,53623603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,2,0,0,1,0,0,0,21.11,0.0449
8,ZTF18aaadtdc,ZTF18aaadtdc_20181106_P60_v1.ascii,53623604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,30.5,0.0359
9,ZTF18aaaibml,ZTF18aaaibml_20200219_Keck1_v1.ascii,53623608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,33.03,0.0348
10,ZTF18aaakpbx,ZTF18aaakpbx_20180928_P60_v2.ascii,53623609,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,4,0,2,0,0,0,1,0,0,0,9.23,0.274
11,ZTF18aaakpsa,ZTF18aaakpsa_20180910_P60_v1.ascii,53623610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,7.94,0.0157
12,ZTF18aaaokus,ZTF18aaaokus_20181110_P60_v1.ascii,53623611,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,5,0,0,0,6.96,0.007
13,ZTF18aaaqexr,ZTF18aaaqexr_20200220_P60_v1.ascii,53623613,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.05,0.7629
14,ZTF18aabcvnq,ZTF18aabcvnq_20180604_P60_v1.ascii,53623614,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9,0.1729
15,ZTF18aabfxpw,ZTF18aabfxpw_20181220_P60_v1.ascii,53623615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5.36,0.7996
16,ZTF18aabicqe,ZTF18aabicqe_20181103_P60_v1.ascii,53623616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,1,0,0,0,35.48,0.0812
17,ZTF18aabilqu,ZTF18aabilqu_20180522_P60_v1.ascii,53623618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2,0,0,0,10.65,0.0198
18,ZTF18aabssth,ZTF18aabssth_20180309_P60_v1.ascii,53623619,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8.07,0.0374
19,ZTF18aabtahy,ZTF18aabtahy_20180308_P200_v1.ascii,53623620,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,3,0,0,0,0,0,0,6.68,0.1752
20,ZTF18aabtxvd,ZTF18aabtxvd_20180326_P60_v1.ascii,53623622,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,0.5506
21,ZTF18aabtxvd,ZTF18aabtxvd_20180404_DCT_v3.ascii,53623625,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4.13,0.3708
22,ZTF18aabtxvd,ZTF18aabtxvd_20180411_DCT_v2.ascii,53623626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,12.78,0.0617
23,ZTF18aabtxvd,ZTF18aabtxvd_20191023_DCT_v1.ascii,53623634,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,6.12,0.1395
24,ZTF18aabuoud,ZTF18aabuoud_20190705_P60_v1.ascii,53623635,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.52,0.5165
25,ZTF18aabvmws,ZTF18aabvmws_20181110_P60_v1.ascii,53623636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,11.28,0.0282
26,ZTF18aabvpbb,ZTF18aabvpbb_20180919_P60_v1.ascii,53623637,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6.48,0.0507
27,ZTF18aabxlsv,ZTF18aabxlsv_20181110_Keck1_v1.ascii,53623640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,8.91,0.0497
