,Version,Resolution,Superfit_c,Superfit_z,Match,Gal,Frac(SN),Frac(gal),Phase,Av,ZTF_Name,Zooniverse_c_broad,agreement_broad,Zooniverse_c,rlap,agreement,z
0,AT2018hrg_20181103_P60_v1.ascii,AT2018hrg_20181103_P60_v1_10,II,-0.000152,II/1999em/LRIS+2451490.5,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/E,0.73812556,0.26187447,8.0,1.8,AT2018hrg,LBV,4,LBV,5.06,4,-0.0005
1,SN2017iuk_20181204_Keck1_v1.ascii,SN2017iuk_20181204_Keck1_v1_10,Ib,0.0368,Ib/2014C/LRIS+2456981.5,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB2,0.118856214,0.8811438,312.3441,2.0,SN2017iuk,Gal,8,Gal,5.66,8,0.0378
2,ZTF17aaajnki_20180320_P60_v1.ascii,ZTF17aaajnki_20180320_P60_v1_10,IIn,0.001113,IIn/2010jl/KAST+2455651.6779977,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB2,0.39013362,0.6098664,164.178,1.6,ZTF17aaajnki,Gal,9,Gal,17.99,9,-0.0
3,ZTF17aaajnki_20180320_P60_v2.ascii,ZTF17aaajnki_20180320_P60_v2_10,IIn,0.001113,IIn/2010jl/KAST+2455693.6939931,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB2,0.40387568,0.5961243,206.194,1.0,ZTF17aaajnki,Gal,12,Gal,18.27,12,-0.0004
4,ZTF17aaapufz_20190304_P200_v1.ascii,ZTF17aaapufz_20190304_P200_v1_10,II,0.0027405,II/2016esw/KAST+2457627.7209954,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB5,0.53130424,0.46869576,13.521636,2.0,ZTF17aaapufz,Gal,10,Gal,28.52,10,0.0025
5,ZTF17aaaukqn_20180904_P60_v1.ascii,ZTF17aaaukqn_20180904_P60_v1_10,Ia-pec,0.0,Ia-pec/2000cx/KAST+2451757.5,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB1,0.27544695,0.72455305,4.0,2.0,ZTF17aaaukqn,Ic,7,Ic-BL,6.95,7,0.3262
6,ZTF17aaawgkc_20180822_P60_v1.ascii,ZTF17aaawgkc_20180822_P60_v1_10,IIb,0.062685,IIb/1993J/KAST+2449076.5,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB1,0.4707013,0.52929866,-18.0,1.4,ZTF17aaawgkc,Ib,1,Ib-norm,5.24,1,0.2808
7,ZTF17aaayjzy_20191214_P60_v1.ascii,ZTF17aaayjzy_20191214_P60_v1_10,IIn,0.0483,IIn/2005cp/DBSP+2453743.5,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB2,0.114633285,0.88536674,184.0,2.0,ZTF17aaayjzy,Gal,7,Gal,20.67,7,0.0479
8,ZTF17aaazdba_20190224_P60_v1.ascii,ZTF17aaazdba_20190224_P60_v1_10,TDE H+He,0.02255,TDE H+He/2016fnl/DBSP+2457630.5,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB2,0.51684463,0.48315534,-1.0422405,2.0,ZTF17aaazdba,Ia,2,Ia-02cx,6.13,2,0.0401
9,ZTF17aaazdba_20190303_P60_v1.ascii,ZTF17aaazdba_20190303_P60_v1_10,TDE H+He,0.0231,TDE H+He/ASASSN-14li/DIS+2456994.0060648,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/Sc,0.21942522,0.7805748,9.906065,2.0,ZTF17aaazdba,Ia,2,Ia-norm,7.46,1,0.0429
