ZTF_Name,Version,subject_ids,Ia,Ia-norm,Ia-91T,Ia-91bg,Ia-csm,Ia-02cx,Ia-03fg,Ib,Ib-norm,IIb,Ibn,Ic,Ic-norm,Ic-BL,Ic-SLSN,II,II-norm,IIn,NotSN,AGN,Gal,LBV,M-star,QSO,C-star,TDE,NoMatch,rlap,z,Class,redshift,col4,col5,col6,col7,col9
AT2018hrg,AT2018hrg_20181103_P60_v1.ascii,53623564,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5.06,-0.0005,nova,-0.00016,-0.00016,2458425.5,,,2
SN2017iuk,SN2017iuk_20181204_Keck1_v1.ascii,53623565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,5.66,0.0378,Ic-BL,0.0368,0.0368,2458456.5,,,2
ZTF17aaajnki,ZTF17aaajnki_20180320_P60_v1.ascii,53623566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,17.99,-0.0,AGN,0.00106,,2458197.5,2459843.58,-1646.08,0
ZTF17aaajnki,ZTF17aaajnki_20180320_P60_v2.ascii,53623567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,18.27,-0.0004,AGN,0.00106,,2458197.5,2459843.58,-1646.08,0
ZTF17aaaobyl,ZTF17aaaobyl_20180826_P60_v2.ascii,53623568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,7.77,0.0021,CV,,,2458356.5,2460253.27,-1896.77,0
ZTF17aaapufz,ZTF17aaapufz_20190304_P200_v1.ascii,53623569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,28.52,0.0025,LBV,0.00261,,2458546.5,2460599.47,-2052.97,0
ZTF17aaaukqn,ZTF17aaaukqn_20180904_P60_v1.ascii,53623570,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,6.95,0.3262,CV,0.0,,2458365.5,2459746.44,-1380.94,0
ZTF17aaawgkc,ZTF17aaawgkc_20180822_P60_v1.ascii,53623571,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.24,0.2808,CV,,,2458352.5,2460425.38,-2072.88,0
ZTF17aaayjzy,ZTF17aaayjzy_20191214_P60_v1.ascii,53623572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,20.67,0.0479,AGN?,0.046,,2458831.5,2460211.16,-1379.66,0
ZTF17aaazdba,ZTF17aaazdba_20190224_P60_v1.ascii,53623573,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0.0401,TDE,0.022,,2458538.5,2459943.26,-1404.76,0
