ZTF_Name,spectra_file,sn_type,superfit_sn_type,zooniverse_sn_type,z_sn,in_rcfI,sn_type_rcfI,in_marshall,sn_type_marshall
ZTF18aabssth,ZTF18aabssth_20180309_P60_v1.ascii,II,II,IIb,0.0374,True,II,True,II
ZTF18aabxlsv,ZTF18aabxlsv_20181110_Keck1_v1.ascii,II,IIb,IIn,0.0497,True,Ib,True,Ib
ZTF18aabybkt,ZTF18aabybkt_20180321_APO_v1.ascii,II,II,II-norm,0.0074,False,,True,II
ZTF18aaccmnh,ZTF18aaccmnh_20180517_P200_v1.ascii,II,II,II-norm,0.0316,False,,True,II
ZTF18aaeoiwu,ZTF18aaeoiwu_20191019_P60_v1.ascii,II,IIn,II-norm,0.6259,False,,True,star
ZTF18aagpzjk,ZTF18aagpzjk_20180410_P200_v1.ascii,II,II,II-norm,0.0114,True,II,True,II
ZTF18aahfqbc,ZTF18aahfqbc_20180411_APO_v1.ascii,II,II,II-norm,0.0011,True,II,True,II
ZTF18aahnnly,ZTF18aahnnly_20180508_P200_v1.ascii,II,IIn,II-norm,0.0291,False,,True,II
ZTF18aahqfee,ZTF18aahqfee_20180513_DCT_v1.ascii,II,II,II-norm,0.039,False,,True,IIP
ZTF18aaikcbb,ZTF18aaikcbb_20180616_P200_v2.ascii,II,II,II-norm,0.0454,False,,True,II
ZTF18aainvic,ZTF18aainvic_20180516_P200_v1.ascii,II,II,II-norm,0.0391,True,II,True,II
ZTF18aalbpll,ZTF18aalbpll_20180517_P200_v1.ascii,II,II,II-norm,0.0251,False,,True,II
ZTF18aaqbzfc,ZTF18aaqbzfc_20180508_P200_v1.ascii,II,II,II-norm,0.0418,False,,True,IIP
ZTF18aatjlhe,ZTF18aatjlhe_20181121_P60_v1.ascii,II,IIb,II-norm,0.0308,True,II,True,II
ZTF18aatyqds,ZTF18aatyqds_20180716_P60_v1.ascii,II,II,II-norm,0.0223,True,II,True,II
ZTF18aavqdyq,ZTF18aavqdyq_20181012_Keck1_v1.ascii,II,II,II-norm,0.0285,True,II-87A,True,II-87A
ZTF18aawwazv,ZTF18aawwazv_20180912_P200_v2.ascii,II,II,II-norm,0.0389,False,,True,II
ZTF18aawyjjq,ZTF18aawyjjq_20180608_P200_v1.ascii,II,II,II-norm,0.0411,True,II,True,II
ZTF18aaxnmdq,ZTF18aaxnmdq_20180612_P200_v1.ascii,II,II,II-norm,0.0444,False,,True,II
ZTF18aaxxota,ZTF18aaxxota_20180617_Keck1_v1.ascii,II,II,II-norm,0.037,False,,True,IIP
ZTF18aayyxxp,ZTF18aayyxxp_20180615_P60_v1.ascii,II,II,II-norm,0.0255,True,II,True,II
ZTF18abaelhi,ZTF18abaelhi_20180705_P60_v1.ascii,II,II,II-norm,0.0199,True,II,True,II
ZTF18abcyues,ZTF18abcyues_20180713_Keck1_v1.ascii,II,II,II-norm,0.0403,True,II,True,II
ZTF18abdbysy,ZTF18abdbysy_20180804_P200_v2.ascii,II,IIn,II-norm,0.0126,True,II,True,II
ZTF18abdeeeh,ZTF18abdeeeh_20180717_P60_v2.ascii,II,II,II-norm,0.0391,False,,True,II
ZTF18abdfwcy,ZTF18abdfwcy_20180804_P200_v2.ascii,II,II,II-norm,0.0141,True,II,True,II
ZTF18abdrbqp,ZTF18abdrbqp_20180712_P60_v1.ascii,II,II,II-norm,0.0133,True,II,True,II
ZTF18abeajml,ZTF18abeajml_20180801_P60_v2.ascii,II,IIb,II-norm,0.0338,True,II,True,II
ZTF18abffyqp,ZTF18abffyqp_20180804_P60_v2.ascii,II,IIb,IIb,0.0357,True,IIb,True,IIb
ZTF18abfzixe,ZTF18abfzixe_20180806_P60_v4.ascii,II,II,II-norm,0.0323,True,II,True,II
ZTF18abgladq,ZTF18abgladq_20180806_P60_v2.ascii,II,IIb,II-norm,0.0397,True,II,True,II
ZTF18abjkryl,ZTF18abjkryl_20180730_P60_v1.ascii,II,II,II-norm,0.0182,True,II,True,II
ZTF18abjovdz,ZTF18abjovdz_20180804_P60_v2.ascii,II,IIb,II-norm,0.0149,True,II,True,II
ZTF18ablhrpz,ZTF18ablhrpz_20180913_P200_v1.ascii,II,II,II-norm,0.0389,False,,True,II
ZTF18abojpnr,ZTF18abojpnr_20180912_P200_v2.ascii,II,IIb,IIb,0.0442,True,IIb,True,IIb
ZTF18abokyfk,ZTF18abokyfk_20181217_WHT_v1.ascii,II,II,II-norm,0.0157,True,II,True,II
ZTF18abpmwfx,ZTF18abpmwfx_20180826_P60_v1.ascii,II,II,IIn,-0.0033,False,,True,CV
ZTF18abqyvzy,ZTF18abqyvzy_20180912_P200_v2.ascii,II,II,II-norm,0.0139,True,II,True,II
ZTF18abrpkdw,ZTF18abrpkdw_20180912_P200_v2.ascii,II,II,IIb,0.0317,False,,True,IIP
ZTF18abrzbtb,ZTF18abrzbtb_20180912_P200_v2.ascii,II,II,II-norm,0.0212,True,II,True,II
ZTF18abrzbum,ZTF18abrzbum_20180922_P60_v1.ascii,II,II,II-norm,0.0183,True,II,True,II
ZTF18absbgqd,ZTF18absbgqd_20180907_P60_v1.ascii,II,IIb,II-norm,0.0289,True,II,True,II
ZTF18abscyji,ZTF18abscyji_20180905_P60_v1.ascii,II,II,II-norm,0.0418,True,II,True,II
ZTF18abscyjj,ZTF18abscyjj_20180912_P200_v2.ascii,II,II,IIn,0.0257,True,II,True,II
ZTF18absgnbm,ZTF18absgnbm_20180904_P60_v1.ascii,II,II,II-norm,0.0132,True,II,True,II
ZTF18absldfl,ZTF18absldfl_20180923_P60_v1.ascii,II,II,II-norm,0.0408,True,II,True,II
ZTF18abspjqm,ZTF18abspjqm_20181012_Keck1_v1.ascii,II,II,II-norm,0.0191,False,,True,II
ZTF18abvgjft,ZTF18abvgjft_20181204_Keck1_v1.ascii,II,II,II-norm,0.076,True,II,True,II
ZTF18abwcooy,ZTF18abwcooy_20181204_Keck1_v1.ascii,II,II,II-norm,0.0526,True,II,True,II
ZTF18abwkrbl,ZTF18abwkrbl_20181016_NOT_v1.ascii,II,IIb,IIb,0.0156,True,IIb,True,IIb
ZTF18abxbmcl,ZTF18abxbmcl_20180923_P60_v1.ascii,II,II,II-norm,0.0181,True,II,True,II
ZTF18abxqemv,ZTF18abxqemv_20181010_P200_v1.ascii,II,II,II-norm,0.0427,True,II,True,II
ZTF18abyvenk,ZTF18abyvenk_20181127_P60_v2.ascii,II,II,II-norm,0.0414,True,II,True,II
ZTF18abzrgim,ZTF18abzrgim_20181223_P60_v1.ascii,II,II,II-norm,0.0209,True,II,True,II
ZTF18abzscns,ZTF18abzscns_20181201_Keck1_v1.ascii,II,II,II-norm,0.0565,True,II,True,II
ZTF18acaozwo,ZTF18acaozwo_20181110_Keck1_v1.ascii,II,II,II-norm,0.0391,False,,True,II
ZTF18acbvhit,ZTF18acbvhit_20181224_P60_v1.ascii,II,II,II-norm,0.0135,True,II,True,II
ZTF18acbvkwl,ZTF18acbvkwl_20181121_P60_v1.ascii,II,IIn,II-norm,0.0906,False,,True,AGN
ZTF18acbwasc,ZTF18acbwasc_20181204_Keck1_v1.ascii,II,II,II-norm,0.0172,True,II,True,II
ZTF18acbwaxk,ZTF18acbwaxk_20190325_P60_v1.ascii,II,IIn,II-norm,0.0008,True,II-87A,True,II-87A
ZTF18acbwglb,ZTF18acbwglb_20181116_P60_v1.ascii,II,II,IIb,0.0328,True,II,True,II
ZTF18acbxkop,ZTF18acbxkop_20181102_P60_v1.ascii,II,IIn,II-norm,0.0327,True,II,True,II
ZTF18acbxshd,ZTF18acbxshd_20181110_Keck1_v1.ascii,II,II,II-norm,0.0309,True,II,True,II
ZTF18acbxudr,ZTF18acbxudr_20190603_Keck1_v1.ascii,II,II,II-norm,0.0183,True,II,True,II
ZTF18acbzoyh,ZTF18acbzoyh_20181204_Keck1_v1.ascii,II,IIb,IIb,0.0504,True,IIb,True,IIb
ZTF18acbzqlw,ZTF18acbzqlw_20181110_Keck1_v1.ascii,II,IIb,II-norm,0.0324,False,,True,II
ZTF18acbzqoc,ZTF18acbzqoc_20181110_Keck1_v1.ascii,II,II,II-norm,0.0293,False,,True,IIP
ZTF18acbzwna,ZTF18acbzwna_20181107_P60_v1.ascii,II,II,II-norm,0.0415,False,,True,IIP
ZTF18accbwow,ZTF18accbwow_20181103_P60_v1.ascii,II,IIb,II-norm,0.0231,True,II,True,II
ZTF18accmkud,ZTF18accmkud_20181115_P60_v1.ascii,II,II,II-norm,0.0395,True,II,True,II
ZTF18accnfrz,ZTF18accnfrz_20190307_Keck1_v1.ascii,II,IIn,IIn,0.0838,False,,True,IIn
ZTF18accngxc,ZTF18accngxc_20190424_P200_v1.ascii,II,IIb,IIb,0.0721,False,,True,II
ZTF18accnmri,ZTF18accnmri_20181107_P60_v1.ascii,II,II,II-norm,0.0205,True,II,True,II
ZTF18accnoli,ZTF18accnoli_20181106_P60_v1.ascii,II,IIb,IIb,0.0464,True,II,True,II
ZTF18accrade,ZTF18accrade_20181110_Keck1_v1.ascii,II,II,II-norm,0.0325,False,,True,II
ZTF18acdvqlo,ZTF18acdvqlo_20181110_Keck1_v1.ascii,II,II,II-norm,0.0099,False,,True,IIP
ZTF18acebssa,ZTF18acebssa_20181201_Keck1_v1.ascii,II,II,IIb,0.0327,True,II,True,II
ZTF18acecuxq,ZTF18acecuxq_20181110_Keck1_v1.ascii,II,II,II-norm,0.0254,False,,True,II
ZTF18aceqrcy,ZTF18aceqrcy_20181201_Keck1_v1.ascii,II,II,II-norm,0.0294,False,,True,II
ZTF18acgvgiq,ZTF18acgvgiq_20190302_NOT_v1.ascii,II,II,II-norm,0.0083,True,II,True,II
ZTF18achcfpm,ZTF18achcfpm_20181201_Keck1_v1.ascii,II,II,II-norm,0.0233,False,,True,II
ZTF18acnbptb,ZTF18acnbptb_20181121_P60_v1.ascii,II,II,II-norm,0.0383,True,II,True,II
ZTF18acnbqgo,ZTF18acnbqgo_20181204_Keck1_v1.ascii,II,II,II-norm,0.0262,False,,True,II
ZTF18acnmifq,ZTF18acnmifq_20181213_P200_v1.ascii,II,II,IIb,0.0944,True,II,True,II
ZTF18acpbcil,ZTF18acpbcil_20181201_Keck1_v1.ascii,II,IIb,IIb,0.0513,False,,True,IIb
ZTF18acpeenk,ZTF18acpeenk_20181201_Keck1_v1.ascii,II,II,II-norm,0.0356,False,,True,IIP
ZTF18acqppuj,ZTF18acqppuj_20181213_P60_v1.ascii,II,IIb,II-norm,0.0335,True,II,True,II
ZTF18acqsqrg,ZTF18acqsqrg_20181216_P60_v1.ascii,II,II,II-norm,0.0167,True,II,True,II
ZTF18acqsroy,ZTF18acqsroy_20181126_P60_v1.ascii,II,II,II-norm,0.0442,True,II,True,II
ZTF18acqwdla,ZTF18acqwdla_20181212_P60_v1.ascii,II,IIb,II-norm,0.0223,True,II,True,II
ZTF18acrcyqw,ZTF18acrcyqw_20181230_NOT_v1.ascii,II,II,II-norm,0.0426,True,II,True,II
ZTF18acrkaks,ZTF18acrkaks_20181201_Keck1_v1.ascii,II,II,II-norm,0.0304,False,,True,II
ZTF18acrtvmm,ZTF18acrtvmm_20190101_WHT_v1.ascii,II,II,II-norm,0.027,True,II,True,II
ZTF18acrtwlx,ZTF18acrtwlx_20181204_Keck1_v1.ascii,II,II,II-norm,0.0192,True,II,True,II
ZTF18acrygtk,ZTF18acrygtk_20190103_P60_v1.ascii,II,II,II-norm,0.0237,True,II,True,II
ZTF18acsoxld,ZTF18acsoxld_20190104_Keck1_v1.ascii,II,II,II-norm,0.0431,False,,True,II
ZTF18acsxkov,ZTF18acsxkov_20190126_P200_v1.ascii,II,II,II-norm,0.0279,False,,True,II
ZTF18acsyaye,ZTF18acsyaye_20190104_Keck1_v1.ascii,II,II,II-norm,0.0513,False,,True,II
ZTF18acsyisy,ZTF18acsyisy_20181209_P60_v1.ascii,II,IIn,II-norm,0.0227,False,,True,II
ZTF18acurqaw,ZTF18acurqaw_20181214_P200_v1.ascii,II,II,II-norm,0.0102,True,II,True,II
