Version,Resolution,Superfit_c,Superfit_z,Match,Gal,Frac(SN),Frac(gal),Phase,Av,ZTF_Name,Zooniverse_c_broad,agreement_broad,Zooniverse_c,rlap,agreement,z
ZTF17aaaobyl_20180826_P60_v2.ascii,,,,,,,,,,ZTF17aaaobyl,Gal,6,Gal,7.77,6,0.0021
ZTF18abbcyzh_20190713_P60_v1.ascii,,,,,,,,,,ZTF18abbcyzh,Ia,7,Ia-norm,4.67,7,0.1221
ZTF18abesqnb_20180728_P60_v1.ascii,,,,,,,,,,ZTF18abesqnb,Ia,7,Ia-91T,5.15,6,0.2836
ZTF18abesqnb_20180730_P60_v2.ascii,,,,,,,,,,ZTF18abesqnb,Ia,5,Ia-91T,5.64,4,0.5289
ZTF18abffyqp_20180708_Gemini_N_v3.ascii,,,,,,,,,,ZTF18abffyqp,TDE,9,TDE,5.57,9,0.0231
ZTF18abjzaic_20180803_P60_v2.ascii,,,,,,,,,,ZTF18abjzaic,II,3,IIb,3.54,3,1.0087
ZTF18abkijlr_20180802_P60_v2.ascii,,,,,,,,,,ZTF18abkijlr,Ib,4,Ib-norm,4.32,2,0.7563
ZTF18ablpmiy_20180813_P60_v2.ascii,,,,,,,,,,ZTF18ablpmiy,Ic,6,Ic-BL,6.8,5,0.5615
ZTF18ablvxkh_20180812_P60_v2.ascii,,,,,,,,,,ZTF18ablvxkh,II,5,II-norm,5.22,5,0.6283
ZTF18ablwhde_20180812_P60_v2.ascii,,,,,,,,,,ZTF18ablwhde,II,7,IIn,6.16,6,0.0005
ZTF18abmbdbg_20180812_P60_v2.ascii,,,,,,,,,,ZTF18abmbdbg,Ic,9,Ic-BL,8.6,9,0.5801
ZTF18abnurff_20180821_P60_v1.ascii,,,,,,,,,,ZTF18abnurff,Ic,5,Ic-BL,4.35,5,0.5879
ZTF18abnzlai_20180823_P60_v1.ascii,,,,,,,,,,ZTF18abnzlai,Ic,7,Ic-SLSN,4.92,5,0.8185
ZTF18abobvym_20180821_P60_v1.ascii,,,,,,,,,,ZTF18abobvym,Ic,10,Ic-BL,5.65,9,0.5755
ZTF18abokyfk_20180829_P60_v1.ascii,,,,,,,,,,ZTF18abokyfk,Ic,6,Ic-norm,7.29,6,0.2953
ZTF18abrqedj_20180830_P60_v1.ascii,,,,,,,,,,ZTF18abrqedj,II,5,IIb,6.34,5,0.0246
ZTF18abryqnn_20180830_P60_v1.ascii,,,,,,,,,,ZTF18abryqnn,Ia,10,Ia-norm,12.0,7,0.0624
ZTF18abvgjft_20181009_P60_v1.ascii,,,,,,,,,,ZTF18abvgjft,Ia,4,Ia-norm,5.52,3,0.2458
ZTF18abvtrnc_20180929_P60_v1.ascii,,,,,,,,,,ZTF18abvtrnc,Ia,11,Ia-norm,11.6,11,0.0851
ZTF18abvxoty_20180922_P60_v2.ascii,,,,,,,,,,ZTF18abvxoty,Ia,8,Ia-norm,5.11,5,0.2979
ZTF18abxftqm_20181026_P60_v1.ascii,,,,,,,,,,ZTF18abxftqm,Ia,3,Ia-norm,8.58,2,0.1008
ZTF18abzscns_20180929_P60_v1.ascii,,,,,,,,,,ZTF18abzscns,Ia,10,Ia-csm,4.71,7,0.0561
ZTF18acnbpmd_20190304_Gemini_N_v1.ascii,,,,,,,,,,ZTF18acnbpmd,Ia,3,Ia-norm,6.45,3,0.0114
ZTF18acrcyqw_20181128_P60_v1.ascii,,,,,,,,,,ZTF18acrcyqw,Ic,5,Ib-norm,6.31,4,0.046
ZTF18acsxwdi_20181210_P60_v1.ascii,,,,,,,,,,ZTF18acsxwdi,Ic,6,Ic-norm,4.02,5,-0.0016
ZTF18acsxwdi_20181219_P60_v1.ascii,,,,,,,,,,ZTF18acsxwdi,Ib,5,Ib-norm,3.62,5,0.4759
ZTF19aakirwj_20190419_P60_v1.ascii,,,,,,,,,,ZTF19aakirwj,Ia,8,Ia-norm,3.99,8,0.4109
ZTF19aamljom_20190330_APO_v1.ascii,,,,,,,,,,ZTF19aamljom,Ia,7,Ia-csm,3.76,3,0.1849
ZTF19aampokl_20190319_P60_v1.ascii,,,,,,,,,,ZTF19aampokl,Ia,4,Ia-norm,3.72,4,0.4407
ZTF19aanfukh_20190421_P60_v1.ascii,,,,,,,,,,ZTF19aanfukh,II,5,II-norm,3.64,5,0.359
ZTF19aanjfnk_20190414_P60_v1.ascii,,,,,,,,,,ZTF19aanjfnk,Ia,6,Ia-03fg,6.59,4,0.2578
ZTF19aanpcep_20190330_APO_v1.ascii,,,,,,,,,,ZTF19aanpcep,II,3,Ic-SLSN,7.19,3,0.2044
ZTF19aansyyn_20190330_P60_v1.ascii,,,,,,,,,,ZTF19aansyyn,Ia,11,Ia-norm,7.66,9,0.0836
ZTF19aapcqle_20190419_P60_v1.ascii,,,,,,,,,,ZTF19aapcqle,II,4,II-norm,5.75,4,0.822
ZTF19aapfmki_20190424_P200_v1.ascii,,,,,,,,,,ZTF19aapfmki,Ib,10,Ibn,6.91,10,0.0573
ZTF19aapwnmb_20190413_P60_v1.ascii,,,,,,,,,,ZTF19aapwnmb,Ic,4,Ic-SLSN,5.67,4,0.2199
ZTF19aaqxosb_20190418_P60_v1.ascii,,,,,,,,,,ZTF19aaqxosb,Gal,8,Gal,4.26,8,0.3272
ZTF19aatqzim_20190504_P60_v1.ascii,,,,,,,,,,ZTF19aatqzim,Ia,4,Ia-norm,4.11,3,0.1008
ZTF19aatvlfl_20190617_P60_v1.ascii,,,,,,,,,,ZTF19aatvlfl,II,10,II-norm,7.54,9,0.2891
ZTF19aavouyw_20190604_LT_v1.ascii,,,,,,,,,,ZTF19aavouyw,II,3,IIb,4.37,3,0.306
ZTF19aawfbtg_20190616_P60_v1.ascii,,,,,,,,,,ZTF19aawfbtg,Ia,4,Ia-norm,4.4,2,0.3962
ZTF19aawfbtg_20190718_P60_v1.ascii,,,,,,,,,,ZTF19aawfbtg,Ia,4,Ia-91T,8.59,4,0.1073
ZTF19aawfbtg_20190718_P60_v2.ascii,,,,,,,,,,ZTF19aawfbtg,Ia,7,Ia-norm,5.6,5,0.1026
ZTF19aawfbtg_20190726_P60_v1.ascii,,,,,,,,,,ZTF19aawfbtg,Ib,9,Ib-norm,7.65,9,0.0929
ZTF19aaxeaag_20190704_Keck1_v1.ascii,,,,,,,,,,ZTF19aaxeaag,II,7,II-norm,9.01,6,0.0473
ZTF19aayejww_20190608_P60_v1.ascii,,,,,,,,,,ZTF19aayejww,Ia,13,Ia-norm,3.88,10,0.9198
ZTF19aayejww_20190608_P60_v2.ascii,,,,,,,,,,ZTF19aayejww,Ia,5,Ia-csm,4.22,3,0.5566
ZTF19aayejww_20190610_Gemini_N_v1.ascii,,,,,,,,,,ZTF19aayejww,Ic,6,Ic-SLSN,5.63,4,0.2111
ZTF19aayejww_20190612_HET_v1.ascii,,,,,,,,,,ZTF19aayejww,Gal,8,Gal,4.62,8,0.2445
ZTF19aayejww_20190615_HET_v1.ascii,,,,,,,,,,ZTF19aayejww,Ic,9,Ic-BL,4.97,6,0.0382
ZTF19aazwnwy_20190616_P60_v1.ascii,,,,,,,,,,ZTF19aazwnwy,Ic,9,Ic-SLSN,4.67,7,0.4952
ZTF19aazwnwy_20190625_P60_v1.ascii,,,,,,,,,,ZTF19aazwnwy,Ic,8,Ic-BL,5.3,5,0.4285
