ZTF_Name,Version,Zooniverse_c_broad,agreement_broad,Zooniverse_c,rlap,agreement,z
AT2018hrg,AT2018hrg_20181103_P60_v1.ascii,LBV,4,LBV,5.06,4,-0.0005
SN2017iuk,SN2017iuk_20181204_Keck1_v1.ascii,Gal,8,Gal,5.66,8,0.0378
ZTF17aaajnki,ZTF17aaajnki_20180320_P60_v1.ascii,Gal,9,Gal,17.99,9,-0.0
ZTF17aaajnki,ZTF17aaajnki_20180320_P60_v2.ascii,Gal,12,Gal,18.27,12,-0.0004
ZTF17aaaobyl,ZTF17aaaobyl_20180826_P60_v2.ascii,Gal,6,Gal,7.77,6,0.0021
ZTF17aaapufz,ZTF17aaapufz_20190304_P200_v1.ascii,Gal,10,Gal,28.52,10,0.0025
ZTF17aaaukqn,ZTF17aaaukqn_20180904_P60_v1.ascii,Ic,7,Ic-BL,6.95,7,0.3262
ZTF17aaawgkc,ZTF17aaawgkc_20180822_P60_v1.ascii,Ib,1,Ib-norm,5.24,1,0.2808
ZTF17aaayjzy,ZTF17aaayjzy_20191214_P60_v1.ascii,Gal,7,Gal,20.67,7,0.0479
ZTF17aaazdba,ZTF17aaazdba_20190224_P60_v1.ascii,Ia,2,Ia-02cx,6.13,2,0.0401
ZTF17aaazdba,ZTF17aaazdba_20190303_P60_v1.ascii,Ia,2,Ia-norm,7.46,1,0.0429
ZTF17aaazdba,ZTF17aaazdba_20190304_P200_v1.ascii,Ic,7,Ic-BL,8.48,5,0.0747
ZTF17aaazdba,ZTF17aaazdba_20190304_P60_v1.ascii,Ia,2,Ia-91bg,6.08,2,0.0404
ZTF17aaazdba,ZTF17aaazdba_20190309_Gemini_N_v2.ascii,Ia,1,Ia-91bg,3.65,1,0.1975
ZTF17aaazdba,ZTF17aaazdba_20190310_DCT_v1.ascii,TDE,9,TDE,5.94,9,0.023
ZTF17aaazdba,ZTF17aaazdba_20190315_P60_v1.ascii,Ic,3,Ic-SLSN,4.27,3,0.2648
ZTF17aaazdba,ZTF17aaazdba_20190316_NOT_v1.ascii,Ia,4,Ia-norm,6.03,4,0.0332
ZTF17aaazdba,ZTF17aaazdba_20190319_P60_v1.ascii,TDE,9,TDE,5.13,9,0.0245
ZTF17aaazdba,ZTF17aaazdba_20190323_Gemini_N_v1.ascii,Ic,8,Ic-BL,6.25,8,0.2938
ZTF17aaazdba,ZTF17aaazdba_20190324_P60_v1.ascii,Ib,4,Ib-norm,7.12,4,0.2818
ZTF17aaazdba,ZTF17aaazdba_20190328_DCT_v3.ascii,Ic,9,Ic-BL,5.1,9,0.0592
ZTF17aaazdba,ZTF17aaazdba_20190330_P60_v1.ascii,TDE,8,TDE,6.47,8,0.0236
ZTF17aaazdba,ZTF17aaazdba_20190406_P60_v1.ascii,TDE,9,TDE,6.27,9,0.0238
ZTF17aaazdba,ZTF17aaazdba_20190417_P60_v1.ascii,TDE,6,TDE,7.12,6,0.0172
ZTF17aaazdba,ZTF17aaazdba_20190424_P60_v1.ascii,Ic,9,Ic-SLSN,6.15,8,0.7381
ZTF17aaazdba,ZTF17aaazdba_20190501_Keck1_v1.ascii,TDE,8,TDE,9.77,8,0.0296
ZTF17aaazdba,ZTF17aaazdba_20190502_DCT_v1.ascii,Ic,6,Ic-norm,5.56,6,0.0577
ZTF17aaazdba,ZTF17aaazdba_20190505_Lick_3-m_v1.ascii,TDE,5,TDE,8.78,5,0.029
ZTF17aaazdba,ZTF17aaazdba_20190513_Lick_3-m_v1.ascii,II,9,II-norm,8.54,9,0.036
ZTF17aaazdba,ZTF17aaazdba_20190529_DCT_v1.ascii,TDE,7,TDE,5.55,7,0.0232
ZTF17aaazdba,ZTF17aaazdba_20190925_Keck1_v4.ascii,TDE,11,TDE,12.26,11,0.0225
ZTF17aaazdba,ZTF17aaazdba_20191023_DCT_v1.ascii,TDE,5,TDE,12.16,5,0.0225
ZTF17aaazdba,ZTF17aaazdba_20191105_DCT_v1.ascii,TDE,10,TDE,11.12,10,0.022
ZTF17aaazdba,ZTF17aaazdba_20191203_DCT_v2.ascii,Ic,4,Ic-norm,7.21,3,0.0684
ZTF17aabcpcp,ZTF17aabcpcp_20181102_P60_v1.ascii,Gal,9,Gal,18.27,9,0.034
ZTF17aaburzk,ZTF17aaburzk_20180717_P60_v1.ascii,Ia,3,Ia-91bg,7.76,3,0.0333
ZTF17aadcbei,ZTF17aadcbei_20181117_P60_v1.ascii,Ia,3,Ia-norm,4.61,3,0.2652
ZTF17aadlxmv,ZTF17aadlxmv_20200123_P60_v1.ascii,Ia,9,Ia-norm,6.17,9,0.0576
ZTF18aaabltn,ZTF18aaabltn_20181209_P60_v1.ascii,AGN,8,AGN,18.47,8,0.0453
ZTF18aaabltn,ZTF18aaabltn_20190502_DCT_v1.ascii,AGN,7,AGN,21.11,7,0.0449
ZTF18aaabltn,ZTF18aaabltn_20201015_DCT_v1.ascii,AGN,8,AGN,41.0,8,0.0458
ZTF18aaadtdc,ZTF18aaadtdc_20181106_P60_v1.ascii,AGN,10,AGN,30.5,10,0.0359
ZTF18aaaehwv,ZTF18aaaehwv_20200917_P60_v1.ascii,Gal,7,Gal,4.0,7,0.6678
ZTF18aaaibml,ZTF18aaaibml_20200212_LT_v1.ascii,Gal,6,Gal,21.12,6,0.035
ZTF18aaaibml,ZTF18aaaibml_20200212_LT_v2.ascii,Gal,9,Gal,24.35,9,0.0352
ZTF18aaaibml,ZTF18aaaibml_20200214_P200_v1.ascii,Gal,8,Gal,33.27,8,0.0346
ZTF18aaaibml,ZTF18aaaibml_20200219_Keck1_v1.ascii,Gal,8,Gal,33.03,8,0.0348
ZTF18aaakpbx,ZTF18aaakpbx_20180928_P60_v2.ascii,II,4,IIn,9.23,4,0.274
ZTF18aaakpsa,ZTF18aaakpsa_20180910_P60_v1.ascii,AGN,6,AGN,7.94,6,0.0157
ZTF18aaaokus,ZTF18aaaokus_20181110_P60_v1.ascii,QSO,5,QSO,6.96,5,0.007
ZTF18aaaqexr,ZTF18aaaqexr_20200215_P60_v1.ascii,Ia,2,Ia-norm,10.11,2,0.7297
ZTF18aaaqexr,ZTF18aaaqexr_20200220_P60_v1.ascii,Ib,2,Ib-norm,9.05,2,0.7629
ZTF18aabcvnq,ZTF18aabcvnq_20180604_P60_v1.ascii,Ia,3,Ia-91T,4.9,3,0.1729
ZTF18aabfxpw,ZTF18aabfxpw_20181220_P60_v1.ascii,Ic,6,Ic-SLSN,5.36,6,0.7996
ZTF18aabicqe,ZTF18aabicqe_20181103_P60_v1.ascii,AGN,9,AGN,35.48,9,0.0812
ZTF18aabilqu,ZTF18aabilqu_20180522_P200_v1.ascii,QSO,4,QSO,16.62,4,0.022
ZTF18aabilqu,ZTF18aabilqu_20180522_P60_v1.ascii,Gal,9,Gal,10.65,9,0.0198
ZTF18aabssth,ZTF18aabssth_20180309_P60_v1.ascii,II,9,IIb,8.07,7,0.0374
ZTF18aabtahy,ZTF18aabtahy_20180308_P200_v1.ascii,Ic,6,Ic-SLSN,6.68,4,0.1752
ZTF18aabtxvd,ZTF18aabtxvd_20180307_P60_v1.ascii,Ic,5,Ic-BL,4.19,5,0.605
ZTF18aabtxvd,ZTF18aabtxvd_20180326_P60_v1.ascii,Ib,7,IIb,4.99,6,0.5506
ZTF18aabtxvd,ZTF18aabtxvd_20180327_P60_v1.ascii,Ic,6,Ic-norm,7.16,4,0.5336
ZTF18aabtxvd,ZTF18aabtxvd_20180328_WHT_v1.ascii,II,4,II-norm,9.66,4,0.0651
ZTF18aabtxvd,ZTF18aabtxvd_20180404_DCT_v3.ascii,II,5,IIn,4.13,5,0.3708
ZTF18aabtxvd,ZTF18aabtxvd_20180411_DCT_v2.ascii,II,11,II-norm,12.78,11,0.0617
ZTF18aabtxvd,ZTF18aabtxvd_20180411_P200_v1.ascii,Ia,4,Ia-norm,7.08,4,0.5379
ZTF18aabtxvd,ZTF18aabtxvd_20180417_Keck1_v1.ascii,II,3,II-norm,13.03,3,0.0669
ZTF18aabtxvd,ZTF18aabtxvd_20180419_Gemini_N_v1.ascii,II,4,II-norm,11.85,4,0.0675
ZTF18aabtxvd,ZTF18aabtxvd_20180505_Gemini_N_v1.ascii,TDE,6,TDE,5.04,6,0.0638
ZTF18aabtxvd,ZTF18aabtxvd_20180506_DCT_v1.ascii,TDE,7,TDE,7.89,7,0.0638
ZTF18aabtxvd,ZTF18aabtxvd_20180513_DCT_v1.ascii,TDE,9,TDE,7.97,9,0.0622
ZTF18aabtxvd,ZTF18aabtxvd_20180519_DCT_v2.ascii,Ib,6,Ibn,5.29,6,0.3705
ZTF18aabtxvd,ZTF18aabtxvd_20191023_DCT_v1.ascii,Ic,10,Ic-BL,6.12,10,0.1395
ZTF18aabuoud,ZTF18aabuoud_20190705_P60_v1.ascii,Ic,10,Ic-norm,6.52,10,0.5165
ZTF18aabvmws,ZTF18aabvmws_20181110_P60_v1.ascii,Gal,9,Gal,11.28,9,0.0282
ZTF18aabvpbb,ZTF18aabvpbb_20180919_P60_v1.ascii,Ic,6,Ic-BL,6.48,5,0.0507
ZTF18aabxlsv,ZTF18aabxlsv_20180510_P60_v1.ascii,Ic,8,Ic-SLSN,8.57,6,0.0555
ZTF18aabxlsv,ZTF18aabxlsv_20180517_P200_v1.ascii,Ic,7,Ic-SLSN,9.46,6,0.0557
ZTF18aabxlsv,ZTF18aabxlsv_20181110_Keck1_v1.ascii,II,11,IIn,8.91,8,0.0497
ZTF18aabybkt,ZTF18aabybkt_20180308_P200_v1.ascii,II,7,II-norm,5.56,6,0.0022
ZTF18aabybkt,ZTF18aabybkt_20180309_P60_v1.ascii,II,9,II-norm,6.0,9,0.0083
ZTF18aabybkt,ZTF18aabybkt_20180316_P60_v1.ascii,Ia,6,Ia-norm,4.73,6,0.0261
ZTF18aabybkt,ZTF18aabybkt_20180321_APO_v1.ascii,II,10,II-norm,16.07,9,0.0074
ZTF18aaccmnh,ZTF18aaccmnh_20180517_P200_v1.ascii,II,11,II-norm,16.38,10,0.0316
ZTF18aachojf,ZTF18aachojf_20180523_P60_v1.ascii,AGN,7,AGN,21.05,7,0.0379
ZTF18aacopwm,ZTF18aacopwm_20181204_Keck1_v1.ascii,Gal,11,Gal,10.26,11,0.088
ZTF18aacsudg,ZTF18aacsudg_20191001_P60_v1.ascii,Gal,9,Gal,10.2,9,0.0242
ZTF18aacsudg,ZTF18aacsudg_20191003_P200_v1.ascii,Gal,10,Gal,14.07,10,0.0247
ZTF18aadbtae,ZTF18aadbtae_20190701_P200_v1.ascii,Gal,5,Gal,7.15,5,0.0762
ZTF18aadkjmo,ZTF18aadkjmo_20181102_P60_v1.ascii,QSO,6,QSO,14.0,6,0.0233
ZTF18aadnqwz,ZTF18aadnqwz_20180831_P60_v1.ascii,Gal,8,Gal,16.3,8,0.0382
ZTF18aadqmyy,ZTF18aadqmyy_20190324_P60_v1.ascii,Gal,7,Gal,11.16,7,0.042
ZTF18aadsuxd,ZTF18aadsuxd_20201103_P60_v1.ascii,Gal,6,Gal,14.87,6,0.0293
ZTF18aadsuxd,ZTF18aadsuxd_20201110_P60_v1.ascii,AGN,7,AGN,7.44,7,0.0301
ZTF18aadvsxy,ZTF18aadvsxy_20200921_P60_v1.ascii,Ia,5,Ia-norm,8.38,5,0.0742
ZTF18aadzfso,ZTF18aadzfso_20200208_LT_v1.ascii,Ia,9,Ia-norm,6.64,8,0.0677
ZTF18aaegvyd,ZTF18aaegvyd_20190625_P60_v1.ascii,II,3,Ic-norm,5.18,3,0.0281
ZTF18aaekkoj,ZTF18aaekkoj_20180514_Keck1_v1.ascii,Gal,9,Gal,38.09,9,0.0454
ZTF18aaemivw,ZTF18aaemivw_20181104_P60_v1.ascii,Ia,11,Ia-csm,9.99,10,0.065
ZTF18aaenfaa,ZTF18aaenfaa_20180922_P60_v1.ascii,AGN,9,AGN,27.19,9,0.0729
ZTF18aaenucd,ZTF18aaenucd_20190315_P200_v1.ascii,TDE,7,TDE,5.43,7,0.0747
ZTF18aaeoiwu,ZTF18aaeoiwu_20191019_P60_v1.ascii,II,8,II-norm,8.27,8,0.6259
