ZTF_Name,Class,col3,col4,col5,col6,col7,Version,col9
ZTF18aahqkbt,TDE,0.051,,2458390.5,2459631.19,-1240.69,ZTF18aahqkbt_20180929_HST_v1.ascii,0
ZTF18aahqkbt,TDE,0.051,,2458391.5,2459631.19,-1239.69,ZTF18aahqkbt_20180930_HST_v1.ascii,0
ZTF18aamigmk,Ia,0.023,,2458229.5,2459627.48,-1397.98,ZTF18aamigmk_20180421_Ekar_v1.ascii,1
ZTF18aasuray,CLAGN,0.0397,,2459189.5,2459805.57,-616.07,ZTF18aasuray_20201206_DCT_v1.ascii,0
ZTF18aaupmks,Ia,0.04,,2458256.5,2459643.49,-1386.99,ZTF18aaupmks_20180518_LT_v1.ascii,1
ZTF18aavrzxp,Ia,0.07,,2459190.5,2459651.29,-460.79,ZTF18aavrzxp_20201207_NOT_v1.ascii,1
ZTF18aavrzxp,Ia,0.07,,2459190.5,2459651.29,-460.79,ZTF18aavrzxp_20201207_NOT_v2.ascii,1
ZTF18aajupnt,CLAGN,0.0367,,2458362.5,2459708.2,-1345.7,ZTF18aajupnt_20180901_HST_v1.ascii,0
ZTF18aajupnt,CLAGN,0.0367,,2458501.5,2459708.2,-1206.7,ZTF18aajupnt_20190118_HST_v1.ascii,0
ZTF18aajupnt,CLAGN,0.0367,,2458545.5,2459708.2,-1162.7,ZTF18aajupnt_20190303_HST_v1.ascii,0
ZTF18abcfdzu,SLSN-II,0.128,,2458481.5,2459732.21,-1250.71,ZTF18abcfdzu_20181229_NOT_v1.ascii,1
ZTF18abdbgza,CV,0.0,,2459141.5,2460522.25,-1380.75,ZTF18abdbgza_20201019_P60_v1.ascii,0
ZTF18abdbysy,II,0.013,0.012122,2458363.5,2459684.34,-1320.84,ZTF18abdbysy_20180902_Keck2_v2.ascii,1
ZTF18abdkkwa,Ic,0.025,0.025318,2458637.5,2459708.32,-1070.82,ZTF18abdkkwa_20190603_Keck1_v1.ascii,1
ZTF18abkhqhk,CV,,,2458333.5,2460079.42,-1745.92,ZTF18abkhqhk_20180803_P60_v1.ascii,0
ZTF18abkmbpy,-,0.02938,,2458363.5,2459715.36,-1351.86,ZTF18abkmbpy_20180902_Keck2_v1.ascii,0
ZTF18abmasep,SLSN-I,0.101,,2458351.5,2459747.31,-1395.81,ZTF18abmasep_20180821_P200_v2.ascii,1
ZTF18abrzbyt,Ia,0.028,0.026911,2458363.5,2459742.54,-1379.04,ZTF18abrzbyt_20180902_P60_v1.ascii,1
ZTF18aaabltn,CLAGN,0.0458,,2459137.5,2460282.23,-1144.73,ZTF18aaabltn_20201015_DCT_v1.ascii,0
ZTF18abwoxal,rock,,,2458378.5,2459759.34,-1380.84,ZTF18abwoxal_20180917_P60_v1.ascii,0
ZTF18abwkrbl,IIb,0.008,0.00999,2458670.5,2459760.48,-1089.98,ZTF18abwkrbl_20190706_Keck1_v1.ascii,1
ZTF18abwkczr,Ia,0.038,,2458382.5,2459779.41,-1396.91,ZTF18abwkczr_20180921_LT_v1.ascii,1
ZTF18abyzkeq,CV,,,2459069.5,2460442.38,-1372.88,ZTF18abyzkeq_20200808_P60_v1.ascii,0
ZTF18acaqbvs,Ia-91T,0.061,,2458414.5,2459805.12,-1390.62,ZTF18acaqbvs_20181023_UH88_v1.ascii,1
ZTF18acbvgry,Ia-91T,0.096,,2458423.5,2459804.38,-1380.88,ZTF18acbvgry_20181101_NTT_v1.ascii,1
ZTF18acbwaxk,II-87A,0.009,0.002408,2458493.5,2459884.56,-1391.06,ZTF18acbwaxk_20190110_NOT_v1.ascii,1
ZTF18acbwaxk,II-87A,0.009,0.002408,2458501.5,2459884.56,-1383.06,ZTF18acbwaxk_20190118_Keck2_v1.ascii,1
ZTF18acbwaxk,II-87A,0.009,0.002408,2458555.5,2459884.56,-1329.06,ZTF18acbwaxk_20190313_Keck2_v2.ascii,1
ZTF18acbwaxk,II-87A,0.009,0.002408,2458627.5,2459884.56,-1257.06,ZTF18acbwaxk_20190524_Keck2_v1.ascii,1
ZTF18acbxudr,II,0.012,,2459087.5,2459872.17,-784.67,ZTF18acbxudr_20200826_P200_v1.ascii,1
ZTF18acbxudr,II,0.012,,2459087.5,2459872.17,-784.67,ZTF18acbxudr_20200826_P200_v2.ascii,1
ZTF18acctdhp,Ia,0.059,,2458426.5,2459811.27,-1384.77,ZTF18acctdhp_20181104_Lick_3-m_v1.ascii,1
ZTF18acaqdaa,TDE,0.212,,2458759.5,2459813.12,-1053.62,ZTF18acaqdaa_20191003_P200_v2.ascii,0
ZTF18acgvgiq,II,0.007,0.01026,2458627.5,2459814.58,-1187.08,ZTF18acgvgiq_20190524_Keck2_v1.ascii,1
ZTF18aceqrrs,Ic-pec,0.079,0.084886,2458541.5,2459821.59,-1280.09,ZTF18aceqrrs_20190227_NOT_v1.ascii,1
ZTF18aceqrrs,Ic-pec,0.079,0.084886,2458607.5,2459821.59,-1214.09,ZTF18aceqrrs_20190504_VLT_v3.ascii,1
ZTF18aceqrrs,Ic-pec,0.079,0.084886,2458607.5,2459821.59,-1214.09,ZTF18aceqrrs_20190504_VLT_v4.ascii,1
ZTF18acrgunw,Ia,0.071,0.065273,2458463.5,2459843.55,-1380.05,ZTF18acrgunw_20181211_UH88_v1.ascii,1
ZTF18acsjrbc,Ic,0.036,0.036939,2458485.5,2459847.51,-1362.01,ZTF18acsjrbc_20190102_NOT_v1.ascii,1
ZTF18acsvkxu,-,,,2458456.5,2459837.53,-1381.03,ZTF18acsvkxu_20181204_LT_v1.ascii,0
ZTF18acsvkxu,-,,,2458457.5,2459837.53,-1380.03,ZTF18acsvkxu_20181205_LT_v1.ascii,0
ZTF18actuhrs,IIn,0.024,0.024971,2458342.5,2459858.57,-1516.07,ZTF18actuhrs_20180812_NTT_v1.ascii,1
ZTF18acgipnc,AGN?,0.0179,,2459076.5,2459891.29,-814.79,ZTF18acgipnc_20200815_P60_v1.ascii,0
ZTF18aczqzrj,Ic,0.033,0.042955,2458501.5,2459868.5,-1367.0,ZTF18aczqzrj_20190118_Keck2_v1.ascii,1
ZTF18adaslwa,Ia,0.025,,2458480.5,2459870.28,-1389.78,ZTF18adaslwa_20181228_Ekar_v1.ascii,1
ZTF19aaafica,Ia-91bg,0.02367,,2458501.5,2459876.58,-1375.08,ZTF19aaafica_20190118_Keck2_v1.ascii,0
ZTF19aaabzpt,II,0.00922,,2458501.5,2459891.3,-1389.8,ZTF19aaabzpt_20190118_Keck2_v1.ascii,0
ZTF19aacgslb,Ia,0.00452,,2458493.5,2459889.54,-1396.04,ZTF19aacgslb_20190110_Lijiang-2.4m_v1.ascii,0
ZTF19aacxrab,SLSN-I,0.1346,,2458600.5,2459928.33,-1327.83,ZTF19aacxrab_20190427_P200_v2.ascii,0
ZTF19aacxrab,SLSN-I,0.1346,,2458600.5,2459928.33,-1327.83,ZTF19aacxrab_20190427_P200_v3.ascii,0
ZTF19aacxrab,SLSN-I,0.1346,,2458600.5,2459928.33,-1327.83,ZTF19aacxrab_20190427_P200_v4.ascii,0
ZTF19aadyppr,ILRT,0.0015,,2458534.5,2459916.49,-1381.99,ZTF19aadyppr_20190220_P200_v1.ascii,0
ZTF19aadaszg,Ia,0.0215,,2459087.5,2459876.16,-788.66,ZTF19aadaszg_20200826_P200_v1.ascii,0
ZTF19aadaszg,Ia,0.0215,,2459369.5,2459876.16,-506.66,ZTF19aadaszg_20210604_P200_v1.ascii,0
ZTF19aagqkrq,ILRT,0.00334,,2458545.5,2459925.29,-1379.79,ZTF19aagqkrq_20190303_Keck2_v1.ascii,0
ZTF19aafmyow,Ic,0.0265,,2458711.5,2459920.54,-1209.04,ZTF19aafmyow_20190816_NOT_v1.ascii,0
ZTF19aaiqmgl,NLSy1?,0.0296,,2459110.5,2459916.35,-805.85,ZTF19aaiqmgl_20200918_P60_v1.ascii,0
ZTF19aaiqmgl,NLSy1?,0.0296,,2459111.5,2459916.35,-804.85,ZTF19aaiqmgl_20200919_P60_v1.ascii,0
ZTF19aaiqmgl,NLSy1?,0.0296,,2459114.5,2459916.35,-801.85,ZTF19aaiqmgl_20200922_P60_v1.ascii,0
ZTF19aagwzod,-,0.0713,,2459105.5,2460269.16,-1163.66,ZTF19aagwzod_20200913_DCT_v1.ascii,0
ZTF19aagwzod,-,0.0713,,2459189.5,2460269.16,-1079.66,ZTF19aagwzod_20201206_DCT_v1.ascii,0
ZTF19aakswrb,TDE,0.1206,,2459009.5,2459925.54,-916.04,ZTF19aakswrb_20200609_DCT_v1.ascii,0
ZTF19aailpwl,NLS1,0.37362,,2458936.5,2460094.27,-1157.77,ZTF19aailpwl_20200328_P60_v1.ascii,0
ZTF19aailpwl,NLS1,0.37362,,2459189.5,2460094.27,-904.77,ZTF19aailpwl_20201206_DCT_v1.ascii,0
ZTF19aalbrgu,SLSN-II,0.098,,2459347.5,2459962.55,-615.05,ZTF19aalbrgu_20210513_P200_v1.ascii,0
ZTF19aalouag,Ib,0.0549,,2458931.5,2459969.3,-1037.8,ZTF19aalouag_20200323_Keck1_v1.ascii,0
ZTF19aammewd,Ia,0.058,,2458554.5,2459938.24,-1383.74,ZTF19aammewd_20190312_Lijiang-2.4m_v1.ascii,0
ZTF19aamggua,-,0.017,,2458554.5,2459938.23,-1383.73,ZTF19aamggua_20190312_Lijiang-2.4m_v1.ascii,0
ZTF19aamsetj,Ic,0.02751,,2458627.5,2459975.36,-1347.86,ZTF19aamsetj_20190524_Keck2_v1.ascii,0
ZTF19aaneseo,-,0.0672,,2458596.5,2459966.2,-1369.7,ZTF19aaneseo_20190423_P60_v1.ascii,0
ZTF19aaniqrr,-,0.519,,2459050.5,2459990.46,-939.96,ZTF19aaniqrr_20200720_Keck1_v1.ascii,0
ZTF19aaniqrr,-,0.519,,2459372.5,2459990.46,-617.96,ZTF19aaniqrr_20210607_Keck1_v1.ascii,0
ZTF19aapadxs,IIb,0.035,,2458668.5,2459974.29,-1305.79,ZTF19aapadxs_20190704_Keck1_v1.ascii,0
ZTF19aapfmki,Ibn,0.05469,,2458614.5,2459968.3,-1353.8,ZTF19aapfmki_20190511_NOT_v1.ascii,0
ZTF19aaphifl,Ia,0.02855,,2458627.5,2459973.47,-1345.97,ZTF19aaphifl_20190524_Keck2_v1.ascii,0
ZTF19aapwnmb,Ib,0.095,,2458637.5,2459966.52,-1329.02,ZTF19aapwnmb_20190603_Keck1_v1.ascii,0
ZTF19aapfohi,II,0.0374,,2458668.5,2459968.34,-1299.84,ZTF19aapfohi_20190704_P200_v2.ascii,0
ZTF19aapreis,TDE,0.0512,,2459133.5,2459989.5,-856.0,ZTF19aapreis_20201011_DCT_v1.ascii,0
ZTF19aarnrfo,-,0.0494,,2459369.5,2459988.29,-618.79,ZTF19aarnrfo_20210604_P200_v1.ascii,0
ZTF19aarxrem,IIn,0.048,,2458668.5,2459988.36,-1319.86,ZTF19aarxrem_20190704_Keck1_v1.ascii,0
ZTF19aarhhfx,IIb,0.042,,2459369.5,2460027.23,-657.73,ZTF19aarhhfx_20210604_P200_v1.ascii,0
ZTF19aarhhfx,IIb,0.042,,2459369.5,2460027.23,-657.73,ZTF19aarhhfx_20210604_P200_v2.ascii,0
ZTF19aarhhfx,IIb,0.042,,2459369.5,2460027.23,-657.73,ZTF19aarhhfx_20210604_P200_v3.ascii,0
ZTF19aarhhfx,IIb,0.042,,2459369.5,2460027.23,-657.73,ZTF19aarhhfx_20210604_P200_v4.ascii,0
ZTF19aatheus,Ic,0.01836,,2458627.5,2460000.29,-1372.79,ZTF19aatheus_20190524_Keck2_v1.ascii,0
ZTF18aaxokeg,Ia,0.0336,,2459087.5,2459998.2,-910.7,ZTF18aaxokeg_20200826_P200_v1.ascii,0
ZTF19aatesgp,IIb,0.00552,,2458872.5,2459988.24,-1115.74,ZTF19aatesgp_20200124_Keck1_v8.ascii,0
ZTF19aatlmbo,Ia,0.00775,,2458627.5,2460001.29,-1373.79,ZTF19aatlmbo_20190524_Keck2_v1.ascii,0
ZTF19aatmkll,Ibn,0.02475,,2458643.5,2459999.42,-1355.92,ZTF19aatmkll_20190609_UH88_v1.ascii,0
ZTF19aargqez,Ia,0.026,,2458668.5,2459975.48,-1306.98,ZTF19aargqez_20190704_P200_v2.ascii,0
ZTF19aaugupw,IIb,0.04058,,2459087.5,2460016.21,-928.71,ZTF19aaugupw_20200826_P200_v1.ascii,0
ZTF19aarphwc,SLSN-I,0.3057,,2458733.5,2460023.25,-1289.75,ZTF19aarphwc_20190907_Keck2_v1.ascii,0
ZTF19aauisdr,IIn,0.0433,,2459087.5,2460010.24,-922.74,ZTF19aauisdr_20200826_P200_v1.ascii,0
ZTF19aafmjfw,-,0.00906,,2459189.5,2460021.21,-831.71,ZTF19aafmjfw_20201206_DCT_v1.ascii,0
ZTF19aatmgjm,-,0.0297,,2459087.5,2459988.34,-900.84,ZTF19aatmgjm_20200826_P200_v1.ascii,0
ZTF19aatubsj,NLSy1?,0.2666,,2459107.5,2460082.2,-974.7,ZTF19aatubsj_20200915_DCT_v1.ascii,0
ZTF19aauoulb,Ia,0.05362,,2459369.5,2460004.19,-634.69,ZTF19aauoulb_20210604_P200_v1.ascii,0
ZTF19aavbkly,IIP,0.0407,,2459087.5,2460020.26,-932.76,ZTF19aavbkly_20200826_P200_v1.ascii,0
ZTF19aavbkly,IIP,0.0407,,2459087.5,2460020.26,-932.76,ZTF19aavbkly_20200826_P200_v2.ascii,0
ZTF18aaoufjt,Ia,0.0298,,2459087.5,2460017.29,-929.79,ZTF18aaoufjt_20200826_P200_v1.ascii,0
ZTF19aavkptg,IIP,0.03787,,2459087.5,2460010.23,-922.73,ZTF19aavkptg_20200826_P200_v1.ascii,0
ZTF19aavkptg,IIP,0.03787,,2459087.5,2460010.23,-922.73,ZTF19aavkptg_20200826_P200_v2.ascii,0
ZTF19aavkvpw,Ic-BL,0.027,,2458667.5,2460028.26,-1360.76,ZTF19aavkvpw_20190703_Lick_3-m_v1.ascii,0
ZTF19aavkvpw,Ic-BL,0.027,,2459369.5,2460028.26,-658.76,ZTF19aavkvpw_20210604_P200_v1.ascii,0
