ZTF_Name classification redshift HGz JD JD_peak phase name flag is_good_spec SF_fit_1 chi2_fit_1 zfit_1 zfit_2 SF_fit_2 chi2_fit_2 c_snid c_rlap z_snid SNR short_name
ZTF18aabssth II 0.026 0.022914 2458186.5 2458218.66 -32.16 ZTF18aabssth_20180309_P60_v1.ascii 1 True II 0.0018563307 0.026 0.026 II 0.001928962 IIb 7.86 0.0358 10.398875055231802 "2007od/LRIS+2007-11-12 04:35:02.00"
ZTF18aabxlsv Ib 0.055 0.04797 2458248.5 2458224.63 23.87 ZTF18aabxlsv_20180510_P60_v1.ascii 1 True SLSN-I 0.002196394 0.055 0.055 SLSN-Ib 0.0035981005 Ic-SLSN 8.38 0.0559 9.143701096944973 "PTF10nmn/LRIS+2010-07-07 00:00:00.00"
ZTF18aabxlsv Ib 0.055 0.04797 2458255.5 2458224.63 30.87 ZTF18aabxlsv_20180517_P200_v1.ascii 1 False SLSN-I 0.009288433 0.055 nan nan nan Ic-norm 12.97 0.0567 10.675754681637988 "PTF10nmn/LRIS+2010-07-07 00:00:00.00"
ZTF18aabxlsv Ib 0.055 0.04797 2458432.5 2458224.63 207.87 ZTF18aabxlsv_20181110_Keck1_v1.ascii 1 False SLSN-I 0.0031540936 0.055 0.055 Ic-BL 0.0032135602 II-norm 9.64 0.0468 2.824064274131373 "2015bn/X-Shooter+2016-03-05 00:00:00.00"
ZTF18aagrdcs Ib 0.024 0.01814 2458204.5 2458217.84 -13.34 ZTF18aagrdcs_20180327_P60_v1.ascii 1 False IIb 0.005011755 0.024 0.024 SLSN-I 0.005489839 Ia-91T 6.39 0.1643 11.04431273084555 "2001ig/LRIS+2001-12-23 00:00:00.00"
ZTF18aagrdcs Ib 0.024 0.01814 2458227.5 2458217.84 9.66 ZTF18aagrdcs_20180419_P200_v1.ascii 1 False Ib 0.0056653935 0.024 0.024 Ib 0.0070888856 Ib-norm 17.7 0.0152 7.169928363085549 "2009jf/FORS2+2009-10-28 00:00:00.00"
ZTF18aagrdcs Ib 0.024 0.01814 2458227.5 2458217.84 9.66 ZTF18aagrdcs_20180419_TNG_v1.ascii 1 True Ib 0.016707946 0.024 0.024 Ca-Ib 0.018156072 Ib-norm 17.13 0.0122 22.946946461804757 "2009jf/FORS2+2009-10-28 00:00:00.00"
ZTF18aagrtxs Ia 0.018 0.029664 2458205.5 2458214.68 -9.18 ZTF18aagrtxs_20180328_P60_v1.ascii 1 True Ia-norm 0.0037926412 0.018 0.018 Ia-norm 0.0040799333 Ia-norm 10.69 0.0142 8.837712025641338 "2017erp/KAST+2017-06-26 05:19:40.00"
ZTF18aagstdc Ia 0.038 nan 2458210.5 2458210.81 -0.31 ZTF18aagstdc_20180402_P60_v1.ascii 1 True Ia-norm 0.0016513283 0.038 0.038 Ia-norm 0.0017621209 Ia-norm 21.2 0.0384 6.801223731357077 "1994D/KAST+1994-03-18 00:00:00.00"
ZTF18aagtcxj Ia 0.033 0.032402 2458218.5 2458219.9 -1.4 ZTF18aagtcxj_20180410_P200_v1.ascii 1 True "Ia 91bg-like" 0.0072439183 0.033 0.033 Ia-norm 0.0074270554 Ia-norm 21.12 0.0334 18.020202598533498 "2015ac/KAST+2015-08-12 10:55:12.00"
